country,datetime,demand,ramp,absolute_ramp
Spain,2024-05-10 05:35:00,22938.0,-217.0,217.0
Spain,2024-05-10 05:40:00,23337.0,399.0,399.0
Spain,2024-05-10 05:45:00,23394.0,57.0,57.0
Spain,2024-05-10 05:50:00,23617.0,223.0,223.0
Spain,2024-05-10 05:55:00,23510.0,-107.0,107.0
Spain,2024-05-10 06:00:00,23694.0,184.0,184.0
Spain,2024-05-10 06:05:00,24285.0,591.0,591.0
Spain,2024-05-10 06:10:00,24703.0,418.0,418.0
Spain,2024-05-10 06:15:00,24917.0,214.0,214.0
Spain,2024-05-10 06:20:00,24917.0,0.0,0.0
Spain,2024-05-10 06:25:00,24991.0,74.0,74.0
Spain,2024-05-10 06:30:00,25387.0,396.0,396.0
Spain,2024-05-10 06:35:00,25684.0,297.0,297.0
Spain,2024-05-10 06:40:00,25787.0,103.0,103.0
Spain,2024-05-10 06:45:00,25968.0,181.0,181.0
Spain,2024-05-10 06:50:00,26103.0,135.0,135.0
Spain,2024-05-10 06:55:00,26359.0,256.0,256.0
Spain,2024-05-10 07:00:00,26629.0,270.0,270.0
Spain,2024-05-10 07:05:00,27064.0,435.0,435.0
Spain,2024-05-10 07:10:00,27312.0,248.0,248.0
Spain,2024-05-10 07:15:00,27470.0,158.0,158.0
Spain,2024-05-10 07:20:00,27554.0,84.0,84.0
Spain,2024-05-10 07:25:00,27908.0,354.0,354.0
Spain,2024-05-10 07:30:00,28137.0,229.0,229.0
Spain,2024-05-10 07:35:00,28228.0,91.0,91.0
Spain,2024-05-10 07:40:00,28349.0,121.0,121.0
Spain,2024-05-10 07:45:00,28442.0,93.0,93.0
Spain,2024-05-10 07:50:00,28396.0,-46.0,46.0
Spain,2024-05-10 07:55:00,28313.0,-83.0,83.0
Spain,2024-05-10 08:00:00,28361.0,48.0,48.0
Spain,2024-05-10 08:05:00,28959.0,598.0,598.0
Spain,2024-05-10 08:10:00,29101.0,142.0,142.0
Spain,2024-05-10 08:15:00,29223.0,122.0,122.0
Spain,2024-05-10 08:20:00,29105.0,-118.0,118.0
Spain,2024-05-10 08:25:00,29165.0,60.0,60.0
Spain,2024-05-10 08:30:00,29469.0,304.0,304.0
Spain,2024-05-10 08:35:00,29616.0,147.0,147.0
Spain,2024-05-10 08:40:00,29548.0,-68.0,68.0
Spain,2024-05-10 08:45:00,29247.0,-301.0,301.0
Spain,2024-05-10 08:50:00,29254.0,7.0,7.0
Spain,2024-05-10 08:55:00,29395.0,141.0,141.0
Spain,2024-05-10 09:00:00,29237.0,-158.0,158.0
Spain,2024-05-10 09:05:00,29150.0,-87.0,87.0
Spain,2024-05-10 09:10:00,29386.0,236.0,236.0
Spain,2024-05-10 09:15:00,29137.0,-249.0,249.0
Spain,2024-05-10 09:20:00,29502.0,365.0,365.0
Spain,2024-05-10 09:25:00,29638.0,136.0,136.0
Spain,2024-05-10 09:30:00,29550.0,-88.0,88.0
Spain,2024-05-10 09:35:00,29498.0,-52.0,52.0
Spain,2024-05-10 09:40:00,29254.0,-244.0,244.0
Spain,2024-05-10 09:45:00,29361.0,107.0,107.0
Spain,2024-05-10 09:50:00,29281.0,-80.0,80.0
Spain,2024-05-10 09:55:00,29056.0,-225.0,225.0
Spain,2024-05-10 10:00:00,29019.0,-37.0,37.0
Spain,2024-05-10 10:05:00,28945.0,-74.0,74.0
Spain,2024-05-10 10:10:00,29023.0,78.0,78.0
Spain,2024-05-10 10:15:00,28879.0,-144.0,144.0
Spain,2024-05-10 10:20:00,29003.0,124.0,124.0
Spain,2024-05-10 10:25:00,28738.0,-265.0,265.0
Spain,2024-05-10 10:30:00,28798.0,60.0,60.0
Spain,2024-05-10 10:35:00,28772.0,-26.0,26.0
Spain,2024-05-10 10:40:00,28733.0,-39.0,39.0
Spain,2024-05-10 10:45:00,28815.0,82.0,82.0
Spain,2024-05-10 10:50:00,28653.0,-162.0,162.0
Spain,2024-05-10 10:55:00,28495.0,-158.0,158.0
Spain,2024-05-10 11:00:00,28753.0,258.0,258.0
Spain,2024-05-10 11:05:00,28571.0,-182.0,182.0
Spain,2024-05-10 11:10:00,28431.0,-140.0,140.0
Spain,2024-05-10 11:15:00,28724.0,293.0,293.0
Spain,2024-05-10 11:20:00,28652.0,-72.0,72.0
Spain,2024-05-10 11:25:00,28545.0,-107.0,107.0
Spain,2024-05-10 11:30:00,28348.0,-197.0,197.0
Spain,2024-05-10 11:35:00,28592.0,244.0,244.0
Spain,2024-05-10 11:40:00,28410.0,-182.0,182.0
Spain,2024-05-10 11:45:00,28492.0,82.0,82.0
Spain,2024-05-10 11:50:00,28354.0,-138.0,138.0
Spain,2024-05-10 11:55:00,28056.0,-298.0,298.0
Spain,2024-05-10 12:00:00,28236.0,180.0,180.0
Spain,2024-05-10 12:05:00,28077.0,-159.0,159.0
Spain,2024-05-10 12:10:00,28063.0,-14.0,14.0
Spain,2024-05-10 12:15:00,28124.0,61.0,61.0
Spain,2024-05-10 12:20:00,28066.0,-58.0,58.0
Spain,2024-05-10 12:25:00,28049.0,-17.0,17.0
Spain,2024-05-10 12:30:00,28131.0,82.0,82.0
Spain,2024-05-10 12:35:00,28094.0,-37.0,37.0
Spain,2024-05-10 12:40:00,28239.0,145.0,145.0
Spain,2024-05-10 12:45:00,28181.0,-58.0,58.0
Spain,2024-05-10 12:50:00,28205.0,24.0,24.0
Spain,2024-05-10 12:55:00,27983.0,-222.0,222.0
Spain,2024-05-10 13:00:00,28124.0,141.0,141.0
Spain,2024-05-10 13:05:00,27865.0,-259.0,259.0
Spain,2024-05-10 13:10:00,27823.0,-42.0,42.0
Spain,2024-05-10 13:15:00,27869.0,46.0,46.0
Spain,2024-05-10 13:20:00,28211.0,342.0,342.0
Spain,2024-05-10 13:25:00,27913.0,-298.0,298.0
Spain,2024-05-10 13:30:00,27742.0,-171.0,171.0
Spain,2024-05-10 13:35:00,27719.0,-23.0,23.0
Spain,2024-05-10 13:40:00,27636.0,-83.0,83.0
Spain,2024-05-10 13:45:00,27502.0,-134.0,134.0
Spain,2024-05-10 13:50:00,27512.0,10.0,10.0
Spain,2024-05-10 13:55:00,27636.0,124.0,124.0
Spain,2024-05-10 14:00:00,27605.0,-31.0,31.0
Spain,2024-05-10 14:05:00,27562.0,-43.0,43.0
Spain,2024-05-10 14:10:00,27498.0,-64.0,64.0
Spain,2024-05-10 14:15:00,27416.0,-82.0,82.0
Spain,2024-05-10 14:20:00,27518.0,102.0,102.0
Spain,2024-05-10 14:25:00,27390.0,-128.0,128.0
Spain,2024-05-10 14:30:00,27348.0,-42.0,42.0
Spain,2024-05-10 14:35:00,27353.0,5.0,5.0
Spain,2024-05-10 14:40:00,27291.0,-62.0,62.0
Spain,2024-05-10 14:45:00,27243.0,-48.0,48.0
Spain,2024-05-10 14:50:00,27136.0,-107.0,107.0
Spain,2024-05-10 14:55:00,27028.0,-108.0,108.0
Spain,2024-05-10 15:00:00,26899.0,-129.0,129.0
Spain,2024-05-10 15:05:00,26864.0,-35.0,35.0
Spain,2024-05-10 15:10:00,26831.0,-33.0,33.0
Spain,2024-05-10 15:15:00,26727.0,-104.0,104.0
Spain,2024-05-10 15:20:00,26746.0,19.0,19.0
Spain,2024-05-10 15:25:00,26650.0,-96.0,96.0
Spain,2024-05-10 15:30:00,26614.0,-36.0,36.0
Spain,2024-05-10 15:35:00,26550.0,-64.0,64.0
Spain,2024-05-10 15:40:00,26571.0,21.0,21.0
