elevation,mindate,maxdate,latitude,name,datacoverage,id,elevationUnit,longitude
2266.0,2008-01-01,2024-01-01,42.6467,"BONAIGUA, SP",0.8817,GHCND:SPE00156027,METERS,0.9844
81.0,2008-01-01,2024-01-01,41.5178,"CABRILS, SP",0.8817,GHCND:SPE00156036,METERS,2.3767
2143.0,2008-01-01,2024-01-01,42.2925,"CADI NORD PRAT DAGUILO, SP",0.8817,GHCND:SPE00156045,METERS,1.715
176.0,2008-01-01,2024-01-01,41.6128,"CALDES DE MONTBUI, SP",0.8817,GHCND:SPE00156054,METERS,2.1681
147.0,2009-01-01,2024-01-01,41.4789,"CASTELLBISBAL, SP",0.9369,GHCND:SPE00156063,METERS,1.9756
14.0,2008-01-01,2024-01-01,41.8083,"CASTELL DARO, SP",0.8817,GHCND:SPE00156072,METERS,3.0325
507.0,2008-01-01,2024-01-01,41.8306,"CASTELLNOU DE BAGES, SP",0.8817,GHCND:SPE00156081,METERS,1.8467
264.0,2015-01-01,2024-01-01,41.6567,"CASTELLNOU DE SEANA, SP",0.7994,GHCND:SPE00156090,METERS,0.9517
2400.0,2009-01-01,2024-01-01,42.6833,"CERTASCAN, SP",0.8744,GHCND:SPE00156099,METERS,1.2717
554.0,2008-01-01,2024-01-01,41.6756,"CERVERA, SP",0.8817,GHCND:SPE00156108,METERS,1.2958
112.0,2008-01-01,2024-01-01,41.1714,"CONSTANTI, SP",0.8817,GHCND:SPE00156117,METERS,1.1678
17.0,2008-01-01,2024-01-01,41.2017,"CUNIT, SP",0.8817,GHCND:SPE00156126,METERS,1.6331
1097.0,2008-01-01,2024-01-01,42.3858,"DAS AERODROM, SP",0.8817,GHCND:SPE00156135,METERS,1.8664
179.0,2008-01-01,2024-01-01,40.8728,"EL PERELLO, SP",0.8817,GHCND:SPE00156144,METERS,0.7156
823.0,2008-01-01,2024-01-01,42.3981,"EL PONT DE SUERT, SP",0.8817,GHCND:SPE00156153,METERS,0.7433
2316.0,2008-01-01,2024-01-01,42.1825,"EL PORT DEL COMTE, SP",0.8817,GHCND:SPE00156162,METERS,1.5242
8.0,2012-01-01,2024-01-01,41.3403,"EL PRAT DE LLOBREGAT, SP",0.9223,GHCND:SPE00156171,METERS,2.0803
316.0,2008-01-01,2024-01-01,41.5308,"ELS HOSTALETS DE PIEROLA, SP",0.8817,GHCND:SPE00156180,METERS,1.8081
59.0,2008-01-01,2024-01-01,41.2156,"EL VENDRELL, SP",0.8817,GHCND:SPE00156189,METERS,1.5208
2519.0,2008-01-01,2024-01-01,42.5342,"ESPOT, SP",0.8817,GHCND:SPE00156198,METERS,1.0544
359.0,2008-01-01,2024-01-01,41.1533,"FALSET, SP",0.8817,GHCND:SPE00156207,METERS,0.8192
415.0,2008-01-01,2024-01-01,41.4328,"FONT RUBI, SP",0.8817,GHCND:SPE00156216,METERS,1.6239
72.0,2011-01-01,2024-01-01,41.9819,"GIRONA, SP",0.8565,GHCND:SPE00156225,METERS,2.8067
788.0,2008-01-01,2024-01-01,42.2342,"GUARDIOLA DE BERGUEDA, SP",0.8817,GHCND:SPE00156234,METERS,1.8744
515.0,2008-01-01,2024-01-01,40.9514,"HORTA DE SANT JOAN, SP",0.8817,GHCND:SPE00156243,METERS,0.3056
1.0,2008-01-01,2024-01-01,40.7069,"ILLA DE BUDA, SP",0.8817,GHCND:SPE00156252,METERS,0.8342
29.0,2008-01-01,2024-01-01,41.9775,"LA BISBAL DEMPORDA, SP",0.8817,GHCND:SPE00156261,METERS,3.0353
2247.0,2008-01-01,2024-01-01,42.6381,"LAC REDON, SP",0.7641,GHCND:SPE00156270,METERS,0.7789
785.0,2009-01-01,2024-01-01,41.6025,"LA PANADELLA, SP",0.8744,GHCND:SPE00156279,METERS,1.4006
513.0,2008-01-01,2016-01-01,42.2392,"LA POBLA DE SEGUR BOMBERS, SP",0.8881,GHCND:SPE00156288,METERS,0.9642
873.0,2008-01-01,2024-01-01,42.0803,"LA QUAR, SP",0.8817,GHCND:SPE00156297,METERS,1.9625
849.0,2008-01-01,2024-01-01,42.3706,"LA SEU DURGELL, SP",0.8817,GHCND:SPE00156306,METERS,1.4328
446.0,2008-01-01,2024-01-01,41.3925,"LESPLUGA DE FRANCOLI, SP",0.8817,GHCND:SPE00156315,METERS,1.0989
2.0,2008-01-01,2024-01-01,41.6467,"MALGRAT DE MAR, SP",0.8229,GHCND:SPE00156324,METERS,2.7567
2230.0,2008-01-01,2024-01-01,42.4658,"MALNIU, SP",0.8817,GHCND:SPE00156333,METERS,1.7781
