station_id,date,wind_vmean_m_s,wind_racha_m_s,wind_dir_racha_d_g
8025,2025-04-29,5.3,13.9,9.0
2422,2025-04-29,1.9,8.6,21.0
B051A,2025-04-29,1.7,9.2,28.0
1203D,2025-04-29,1.9,15.3,6.0
1327A,2025-04-29,1.9,8.9,8.0
9122I,2025-04-29,6.1,16.4,10.0
2430Y,2025-04-29,6.1,16.9,16.0
9060X,2025-04-29,2.8,9.7,12.0
5996B,2025-04-29,6.7,22.5,13.0
2491C,2025-04-29,3.6,14.2,17.0
3129,2025-04-29,4.7,11.7,19.0
7145D,2025-04-29,4.2,11.7,14.0
8198Y,2025-04-29,2.2,9.7,9.0
6329X,2025-04-29,11.9,28.3,8.0
1050J,2025-04-29,5.6,17.8,11.0
1393,2025-04-29,4.7,11.1,23.0
5983X,2025-04-29,11.4,24.7,99.0
1152C,2025-04-29,3.9,12.2,14.0
C668V,2025-04-29,2.8,7.8,34.0
5624X,2025-04-29,4.2,8.9,22.0
8439X,2025-04-29,1.4,8.9,12.0
6307C,2025-04-29,1.4,6.1,22.0
B656A,2025-04-29,3.6,9.2,13.0
1207U,2025-04-29,1.9,10.0,6.0
9294E,2025-04-29,7.8,15.0,10.0
C126A,2025-04-29,1.9,8.6,26.0
3455X,2025-04-29,7.2,15.6,4.0
2914C,2025-04-29,1.9,9.7,18.0
2728B,2025-04-29,2.5,8.6,17.0
2362C,2025-04-29,3.3,11.1,18.0
C329Z,2025-04-29,4.7,14.2,29.0
8096,2025-04-29,4.4,11.9,13.0
5941X,2025-04-29,5.3,14.4,16.0
C148F,2025-04-29,5.3,13.1,33.0
3512X,2025-04-29,6.7,15.8,4.0
8155Y,2025-04-29,3.1,12.8,11.0
2243A,2025-04-29,2.2,8.6,99.0
9513X,2025-04-29,4.7,13.6,10.0
4096Y,2025-04-29,3.1,14.2,12.0
5000C,2025-04-29,5.3,13.1,12.0
6267X,2025-04-29,2.2,8.6,29.0
C449F,2025-04-29,4.2,13.6,36.0
9918Y,2025-04-29,1.9,8.3,16.0
5783,2025-04-29,3.1,10.3,23.0
1083B,2025-04-29,3.1,12.5,13.0
4089A,2025-04-29,4.4,13.6,16.0
C438N,2025-04-29,2.8,14.7,36.0
6076X,2025-04-29,4.2,10.0,6.0
1505,2025-04-29,1.4,7.5,16.0
C430E,2025-04-29,10.6,18.3,32.0
8019,2025-04-29,8.9,15.0,7.0
1549,2025-04-29,4.2,11.1,11.0
6272X,2025-04-29,1.9,9.4,14.0
1199X,2025-04-29,1.4,7.2,2.0
5998X,2025-04-29,6.4,19.2,13.0
3514B,2025-04-29,3.1,9.2,25.0
9377Y,2025-04-29,5.3,11.1,10.0
5582A,2025-04-29,2.2,10.6,14.0
1542,2025-04-29,6.4,12.8,14.0
C665T,2025-04-29,4.2,9.7,30.0
4436Y,2025-04-29,4.2,11.4,23.0
2140A,2025-04-29,5.8,14.2,14.0
2096B,2025-04-29,6.7,16.1,16.0
2565,2025-04-29,7.5,12.8,12.0
2444,2025-04-29,5.6,15.0,15.0
B825B,2025-04-29,3.3,9.7,8.0
2117D,2025-04-29,3.3,12.8,14.0
9111,2025-04-29,4.7,13.1,8.0
5704B,2025-04-29,3.9,,
2462,2025-04-29,7.8,18.9,13.0
8500A,2025-04-29,1.7,,
9981A,2025-04-29,2.8,8.3,12.0
5641X,2025-04-29,5.3,12.5,17.0
1060X,2025-04-29,5.0,13.3,15.0
5270B,2025-04-29,4.7,14.7,19.0
1059X,2025-04-29,4.2,12.8,16.0
B605X,2025-04-29,1.4,7.2,4.0
9073X,2025-04-29,9.2,21.4,14.0
1186P,2025-04-29,3.1,11.9,10.0
2030,2025-04-29,3.3,10.0,10.0
1518A,2025-04-29,1.9,8.3,14.0
4121,2025-04-29,3.9,11.7,9.0
3469A,2025-04-29,4.7,11.4,14.0
4260,2025-04-29,3.9,11.1,13.0
1489A,2025-04-29,3.9,10.3,99.0
3463Y,2025-04-29,3.9,9.7,13.0
C649I,2025-04-29,9.4,17.5,99.0
1297E,2025-04-29,4.2,11.4,16.0
7031X,2025-04-29,9.4,16.1,6.0
C449C,2025-04-29,6.7,16.9,28.0
B301,2025-04-29,5.0,11.4,10.0
2630X,2025-04-29,4.2,12.8,11.0
2789H,2025-04-29,3.3,10.3,11.0
7237E,2025-04-29,5.0,12.8,14.0
B013X,2025-04-29,1.7,6.4,99.0
B228,2025-04-29,2.5,8.6,16.0
9677,2025-04-29,2.8,6.9,14.0
9729X,2025-04-29,3.6,9.2,12.0
2311Y,2025-04-29,5.3,,
2150H,2025-04-29,13.1,26.7,16.0
3422D,2025-04-29,4.7,15.3,8.0
8059C,2025-04-29,3.1,9.4,4.0
4554X,2025-04-29,5.0,15.6,14.0
2401X,2025-04-29,1.9,9.4,14.0
9145Y,2025-04-29,7.2,16.1,7.0
9263X,2025-04-29,3.1,11.1,8.0
B662X,2025-04-29,3.3,9.7,7.0
2465,2025-04-29,6.7,15.3,14.0
0200E,2025-04-29,2.2,7.8,6.0
1521X,2025-04-29,1.9,10.3,10.0
1466A,2025-04-29,2.8,11.9,17.0
0360X,2025-04-29,0.8,5.0,8.0
B158X,2025-04-29,2.8,8.3,15.0
9245X,2025-04-29,4.2,12.8,16.0
9585,2025-04-29,2.2,10.6,13.0
2918Y,2025-04-30,2.5,14.4,20.0
C439J,2025-04-30,2.2,6.9,18.0
9280B,2025-04-30,7.5,16.4,13.0
B434X,2025-04-30,5.6,10.8,6.0
B341X,2025-04-30,5.6,11.9,9.0
9808X,2025-04-30,2.5,10.6,21.0
8376,2025-04-30,6.1,12.2,18.0
7019X,2025-04-30,8.1,15.3,3.0
1521X,2025-04-30,1.1,16.1,27.0
C329B,2025-04-30,3.6,11.9,26.0
9051,2025-04-30,2.2,12.5,11.0
7178I,2025-04-30,4.4,13.3,8.0
C468X,2025-04-30,1.7,7.2,20.0
2482B,2025-04-30,4.2,13.9,26.0
5515X,2025-04-30,0.8,8.9,22.0
9394X,2025-04-30,3.9,13.6,5.0
4489X,2025-04-30,3.6,9.7,18.0
C648N,2025-04-30,3.1,10.3,28.0
2048A,2025-04-30,7.2,14.4,7.0
2847X,2025-04-30,3.6,17.2,24.0
1387E,2025-04-30,2.5,12.5,29.0
6069X,2025-04-30,1.1,8.6,1.0
0244X,2025-04-30,3.3,8.1,11.0
C139E,2025-04-30,3.3,8.9,99.0
1124E,2025-04-30,3.6,15.6,21.0
4358X,2025-04-30,0.8,8.1,27.0
0222X,2025-04-30,2.8,8.9,11.0
6088X,2025-04-30,1.4,7.2,25.0
5361X,2025-04-30,1.9,12.5,24.0
7172X,2025-04-30,3.1,15.0,9.0
2517A,2025-04-30,4.7,17.5,25.0
7026X,2025-04-30,4.7,14.4,8.0
C639U,2025-04-30,3.1,8.3,6.0
9726E,2025-04-30,5.0,11.7,14.0
6248D,2025-04-30,2.5,8.6,10.0
C648C,2025-04-30,4.2,10.8,36.0
9263D,2025-04-30,4.7,14.4,15.0
B957,2025-04-30,4.2,13.3,8.0
B986,2025-04-30,5.0,13.1,8.0
9843A,2025-04-30,1.4,8.3,24.0
9894Y,2025-04-30,3.6,12.5,10.0
5107D,2025-04-30,9.4,17.2,10.0
1387D,2025-04-30,2.8,13.3,28.0
8409X,2025-04-30,2.8,11.7,10.0
4260,2025-04-30,1.7,10.8,21.0
9531Y,2025-04-30,1.1,8.6,13.0
1167B,2025-04-30,0.6,8.9,24.0
3168D,2025-04-30,3.1,13.3,14.0
9293X,2025-04-30,5.8,16.7,14.0
9091O,2025-04-30,4.7,17.5,12.0
9198X,2025-04-30,0.6,5.6,20.0
0372C,2025-04-30,1.7,8.9,17.0
9562X,2025-04-30,3.9,12.2,8.0
2593D,2025-04-30,2.2,22.2,25.0
3099Y,2025-04-30,8.1,15.8,12.0
9434,2025-04-30,6.7,16.4,11.0
5910,2025-04-30,3.3,12.2,12.0
6106X,2025-04-30,2.8,12.5,14.0
3343Y,2025-04-30,2.8,10.6,9.0
9990X,2025-04-30,1.1,6.7,3.0
6293X,2025-04-30,7.5,17.5,8.0
9866C,2025-04-30,2.2,10.3,10.0
8503Y,2025-04-30,4.2,11.7,10.0
8050X,2025-04-30,5.0,10.3,3.0
C019V,2025-04-30,3.1,8.6,26.0
C929I,2025-04-30,7.8,16.1,32.0
2235U,2025-04-30,2.2,22.5,23.0
5788X,2025-04-30,0.8,9.2,27.0
C916Q,2025-04-30,2.5,12.8,2.0
5860E,2025-04-30,2.8,11.4,23.0
9994X,2025-04-30,3.1,14.2,23.0
0370E,2025-04-30,1.7,6.7,19.0
C458A,2025-04-30,3.6,8.6,24.0
1223P,2025-04-30,2.5,9.2,16.0
8036Y,2025-04-30,6.7,14.4,4.0
C459Z,2025-04-30,2.2,5.8,33.0
3494U,2025-04-30,0.3,8.9,27.0
9336D,2025-04-30,8.3,18.6,10.0
4608X,2025-04-30,2.5,8.1,21.0
2430Y,2025-04-30,5.3,15.3,10.0
1735X,2025-04-30,1.4,11.1,25.0
9390,2025-04-30,2.8,11.4,7.0
6045X,2025-04-30,2.2,12.8,8.0
3130C,2025-04-30,1.7,10.0,14.0
6000A,2025-04-30,3.3,10.3,99.0
C428T,2025-04-30,2.5,7.2,99.0
C659M,2025-04-30,1.9,8.3,33.0
2362C,2025-04-30,4.2,21.4,26.0
9451F,2025-04-30,1.9,11.4,10.0
2192C,2025-04-30,3.6,14.2,22.0
2728B,2025-04-30,3.6,13.6,29.0
8058Y,2025-04-30,3.1,8.3,6.0
6267X,2025-04-30,2.5,11.1,16.0
9756X,2025-04-30,4.7,11.7,12.0
4089A,2025-04-30,4.2,13.9,12.0
B373X,2025-04-30,6.4,12.5,8.0
C438N,2025-04-30,3.6,11.9,36.0
7020C,2025-04-30,8.3,16.9,6.0
0367,2025-04-30,2.8,7.8,99.0
6272X,2025-04-30,3.1,8.9,10.0
3254Y,2025-04-30,5.6,13.9,10.0
8019,2025-04-30,10.3,18.6,99.0
3175,2025-04-30,3.3,13.9,20.0
1186P,2025-04-30,2.2,13.1,23.0
4436Y,2025-04-30,3.3,9.2,30.0
C018J,2025-04-30,3.1,9.2,32.0
C101A,2025-04-30,3.6,10.8,24.0
9911X,2025-04-30,3.6,11.4,99.0
9031C,2025-04-30,8.1,16.4,18.0
0252D,2025-04-30,1.1,5.6,14.0
2945A,2025-04-30,0.6,10.6,24.0
1152C,2025-04-30,2.2,13.1,18.0
4095Y,2025-04-30,6.9,16.9,10.0
B662X,2025-04-30,4.7,11.4,6.0
5641X,2025-04-30,2.5,12.5,27.0
3126Y,2025-04-30,3.3,11.7,11.0
1279X,2025-04-30,1.4,12.8,22.0
5459X,2025-04-30,1.1,8.3,22.0
C029O,2025-04-30,4.2,9.7,31.0
0120X,2025-04-30,2.2,8.6,14.0
1679A,2025-04-30,1.9,10.3,24.0
9574B,2025-04-30,7.2,15.8,12.0
8395X,2025-04-30,3.3,13.3,12.0
1700X,2025-04-30,0.0,7.2,28.0
2891A,2025-04-30,3.3,13.9,25.0
6277B,2025-04-30,1.7,8.1,24.0
2507Y,2025-04-30,2.8,20.6,25.0
C928I,2025-04-30,8.3,16.9,31.0
9814X,2025-04-30,2.5,11.9,19.0
5511,2025-04-30,7.2,23.9,20.0
1435C,2025-04-30,1.1,6.9,21.0
C328W,2025-04-30,3.9,12.8,34.0
6032X,2025-04-30,1.9,11.1,17.0
0360X,2025-04-30,0.6,5.0,28.0
9141V,2025-04-30,6.9,16.1,6.0
C611E,2025-04-30,3.1,8.6,27.0
1351,2025-04-30,6.7,21.4,24.0
1096X,2025-04-30,2.5,10.8,99.0
1387,2025-04-30,1.9,16.1,28.0
2536D,2025-04-30,3.9,26.4,22.0
2453E,2025-04-30,8.1,18.3,16.0
3013,2025-04-30,3.6,12.5,9.0
C038N,2025-04-30,3.9,10.6,30.0
9252X,2025-04-30,6.1,16.7,15.0
B410B,2025-04-30,5.6,13.1,7.0
2755X,2025-04-30,2.5,17.2,23.0
5796,2025-04-30,1.9,8.6,25.0
0066X,2025-04-30,1.9,8.9,12.0
1477V,2025-04-30,2.5,11.7,24.0
B691Y,2025-04-30,4.4,9.7,3.0
7218Y,2025-04-30,5.6,13.1,4.0
4499X,2025-04-30,3.3,8.9,19.0
9495Y,2025-04-30,5.6,14.2,10.0
1331A,2025-04-30,1.7,12.5,21.0
9302Y,2025-04-30,5.8,14.7,15.0
8489X,2025-04-30,3.9,10.0,12.0
5702X,2025-04-30,3.3,9.7,25.0
2276B,2025-04-30,2.8,16.9,26.0
9839V,2025-04-30,1.7,12.5,21.0
B496X,2025-04-30,3.6,10.0,12.0
4492F,2025-04-30,2.8,7.8,15.0
9924X,2025-04-30,2.8,12.8,13.0
5858X,2025-04-30,3.1,8.9,16.0
C939T,2025-04-30,2.5,6.7,34.0
2555B,2025-04-30,5.3,23.3,24.0
9115X,2025-04-30,3.3,20.8,12.0
0413A,2025-04-30,1.9,8.9,8.0
1342X,2025-04-30,1.9,11.9,18.0
9145Y,2025-04-30,6.9,16.4,8.0
9244X,2025-04-30,4.2,15.3,12.0
5192,2025-04-30,5.0,15.8,12.0
6001,2025-04-30,3.6,13.6,8.0
6375X,2025-04-30,4.4,13.6,18.0
1701X,2025-04-30,0.8,7.2,23.0
C117A,2025-04-30,2.8,9.7,1.0
4325Y,2025-04-30,3.6,12.8,26.0
1234P,2025-04-30,2.5,12.5,20.0
5625X,2025-04-30,1.9,11.9,26.0
9171K,2025-04-30,5.3,12.5,15.0
6307X,2025-04-30,4.2,11.1,15.0
2298,2025-04-30,6.9,16.7,12.0
1041A,2025-04-30,4.2,16.4,17.0
9657X,2025-04-30,2.2,9.2,15.0
2766E,2025-04-30,1.1,10.6,19.0
C446G,2025-04-30,2.8,10.0,29.0
1078I,2025-04-30,1.9,15.3,12.0
1064L,2025-04-30,1.4,15.8,13.0
2777K,2025-04-30,2.8,16.9,24.0
7244X,2025-04-30,4.2,15.8,7.0
B640X,2025-04-30,4.4,10.8,8.0
9228T,2025-04-30,4.2,13.6,17.0
5733X,2025-04-30,1.4,7.8,22.0
B103B,2025-04-30,1.1,8.1,10.0
C629X,2025-04-30,2.5,7.5,99.0
5656,2025-04-30,3.3,12.8,25.0
2568D,2025-04-30,3.9,16.9,27.0
4589X,2025-04-30,3.6,11.1,14.0
8414A,2025-04-30,7.2,12.5,99.0
6057X,2025-04-30,2.5,10.0,12.0
1026X,2025-04-30,6.7,23.3,10.0
9998X,2025-04-30,6.7,13.6,18.0
9590,2025-04-30,1.9,8.6,9.0
8325X,2025-04-30,4.2,9.7,6.0
4642E,2025-04-30,3.6,9.7,17.0
9208E,2025-04-30,4.7,12.8,18.0
9718X,2025-04-30,6.1,12.2,12.0
1111X,2025-04-30,3.3,14.2,8.0
0429X,2025-04-30,1.9,8.3,17.0
2422,2025-04-30,1.4,16.4,29.0
8416X,2025-04-30,1.1,7.5,4.0
5304Y,2025-04-30,2.2,10.0,25.0
1025X,2025-04-30,3.9,14.2,15.0
C429I,2025-04-30,5.0,13.3,26.0
4103X,2025-04-30,7.8,15.8,10.0
5941X,2025-04-30,3.9,18.9,11.0
C419L,2025-04-30,3.3,11.1,30.0
9814I,2025-04-30,5.0,11.4,18.0
9434P,2025-04-30,5.0,13.9,14.0
8416Y,2025-04-30,3.1,10.3,4.0
6312E,2025-04-30,2.8,10.0,12.0
8210Y,2025-04-30,5.6,14.7,8.0
5790Y,2025-04-30,1.4,7.5,21.0
B925,2025-04-30,3.6,11.7,5.0
C229J,2025-04-30,3.9,10.6,32.0
0411X,2025-04-30,1.9,6.4,13.0
C625O,2025-04-30,3.3,9.4,25.0
4007Y,2025-04-30,5.3,15.8,15.0
3562X,2025-04-30,2.2,9.2,14.0
4339X,2025-04-30,2.5,12.8,23.0
3196,2025-04-30,5.8,13.9,12.0
1176A,2025-04-30,2.2,19.7,24.0
1167G,2025-04-30,1.4,30.8,22.0
0385X,2025-04-30,1.7,5.3,11.0
C129Z,2025-04-30,3.6,9.7,33.0
3531X,2025-04-30,0.8,9.4,21.0
3526X,2025-04-30,3.9,12.5,10.0
1272B,2025-04-30,1.7,8.1,12.0
C457I,2025-04-30,2.2,6.1,33.0
5470,2025-04-30,2.8,14.7,27.0
5341C,2025-04-30,1.9,10.3,22.0
C623I,2025-04-30,2.2,6.7,30.0
1210X,2025-04-30,2.8,17.2,31.0
3504X,2025-04-30,2.5,12.2,25.0
4560Y,2025-04-30,1.7,8.9,19.0
5103E,2025-04-30,3.3,16.4,18.0
4497X,2025-04-30,3.9,9.4,20.0
2626Y,2025-04-30,2.5,20.8,22.0
3540X,2025-04-30,2.2,11.4,20.0
1178R,2025-04-30,1.9,19.4,25.0
4116I,2025-04-30,3.6,14.4,26.0
3423I,2025-04-30,2.5,12.2,22.0
3503,2025-04-30,2.5,11.4,24.0
4468X,2025-04-30,4.2,11.4,26.0
5726X,2025-04-30,3.3,9.4,99.0
1049N,2025-04-30,1.9,13.9,16.0
9016X,2025-04-30,3.1,14.2,24.0
9975X,2025-04-30,2.8,10.3,12.0
1484C,2025-04-30,1.1,8.6,23.0
2867,2025-04-30,8.1,19.7,26.0
9585,2025-04-30,2.2,8.9,12.0
9724X,2025-04-30,3.1,13.1,6.0
6076X,2025-04-30,3.6,10.3,8.0
9060X,2025-04-30,2.8,14.7,23.0
3455X,2025-04-30,5.0,12.2,99.0
1505,2025-04-30,0.8,8.1,26.0
C329Z,2025-04-30,2.2,10.6,31.0
5919X,2025-04-30,1.9,10.8,20.0
C919K,2025-04-30,3.9,11.7,24.0
B825B,2025-04-30,5.3,12.8,9.0
5973,2025-04-30,3.9,12.8,15.0
1549,2025-04-30,2.5,10.8,10.0
1154H,2025-04-30,4.4,13.6,28.0
3469A,2025-04-30,2.2,13.9,24.0
9632X,2025-04-30,3.9,11.7,88.0
B278,2025-04-30,8.1,15.0,8.0
C129V,2025-04-30,6.1,14.2,28.0
9812M,2025-04-30,0.8,7.5,11.0
3448X,2025-04-30,5.0,14.4,9.0
B893,2025-04-30,7.8,12.5,99.0
5911A,2025-04-30,2.2,13.1,9.0
1400,2025-04-30,4.2,11.7,20.0
5047E,2025-04-30,5.0,12.8,14.0
9751,2025-04-30,5.3,12.5,32.0
8309X,2025-04-30,5.8,15.0,10.0
3536X,2025-04-30,0.8,10.8,28.0
3319D,2025-04-30,3.1,13.1,14.0
C925F,2025-04-30,8.3,15.8,31.0
3365A,2025-04-30,3.6,18.6,29.0
9245X,2025-04-30,3.6,13.6,13.0
8177A,2025-04-30,7.2,15.8,9.0
9207,2025-04-30,3.6,14.2,20.0
5210X,2025-04-30,1.4,10.8,29.0
B569X,2025-04-30,7.8,10.3,8.0
1057B,2025-04-30,3.9,12.2,8.0
0149X,2025-04-30,1.9,9.4,15.0
5624X,2025-04-30,1.7,13.1,25.0
8193E,2025-04-30,3.1,11.7,2.0
C668V,2025-04-30,2.5,8.3,29.0
8300X,2025-04-30,3.9,9.4,5.0
1393,2025-04-30,3.9,11.1,23.0
9427X,2025-04-30,3.3,12.5,7.0
5783,2025-04-30,2.2,9.7,25.0
B656A,2025-04-30,5.0,11.9,12.0
0421X,2025-04-30,2.8,8.6,20.0
0171X,2025-04-30,1.9,7.8,13.0
C126A,2025-04-30,3.6,12.2,30.0
5164B,2025-04-30,3.1,11.1,26.0
2914C,2025-04-30,3.1,15.0,26.0
B236C,2025-04-30,4.2,11.7,7.0
1174I,2025-04-30,1.7,10.8,27.0
7121A,2025-04-30,3.9,12.2,12.0
1302F,2025-04-30,1.9,13.6,6.0
C430E,2025-04-30,8.3,16.4,32.0
4427X,2025-04-30,3.3,9.2,15.0
C665T,2025-04-30,2.5,6.4,33.0
4478X,2025-04-30,1.7,7.8,88.0
9195C,2025-04-30,7.2,15.3,10.0
C656V,2025-04-30,1.9,7.8,36.0
4067,2025-04-30,8.9,19.2,9.0
2926B,2025-04-30,2.2,11.1,25.0
8492X,2025-04-30,2.2,8.6,10.0
B398A,2025-04-30,11.4,18.9,7.0
C248E,2025-04-30,4.4,9.7,32.0
9510X,2025-04-30,4.7,14.4,12.0
8008Y,2025-04-30,6.7,16.1,4.0
0009X,2025-04-30,3.3,11.7,9.0
2017Y,2025-04-30,2.8,9.4,16.0
6268Y,2025-04-30,4.7,12.2,13.0
4051Y,2025-04-30,5.6,15.3,11.0
C639M,2025-04-30,1.7,6.7,99.0
9287A,2025-04-30,2.8,10.3,6.0
4347X,2025-04-30,2.5,11.1,22.0
6056X,2025-04-30,3.9,12.5,9.0
0106X,2025-04-30,3.3,10.3,19.0
7228,2025-04-30,4.7,14.4,14.0
3260B,2025-04-30,3.9,14.2,12.0
5514Z,2025-04-30,3.3,12.8,18.0
8283X,2025-04-30,2.5,8.9,6.0
9546B,2025-04-30,5.3,13.6,9.0
B644B,2025-04-30,4.2,10.8,5.0
1037Y,2025-04-30,3.9,14.7,88.0
0281Y,2025-04-30,3.1,7.2,8.0
7209,2025-04-30,1.1,8.9,5.0
9569A,2025-04-30,3.6,11.4,11.0
5950X,2025-04-30,3.6,14.2,99.0
6058I,2025-04-30,2.5,9.2,6.0
5412X,2025-04-30,2.2,12.5,29.0
C319W,2025-04-30,4.4,14.2,33.0
8072Y,2025-04-30,1.9,8.1,33.0
1021X,2025-04-30,4.7,19.2,10.0
5835X,2025-04-30,1.7,6.1,26.0
5473X,2025-04-30,2.5,11.1,26.0
2611D,2025-04-30,3.6,21.7,22.0
9995Y,2025-04-30,2.8,19.2,18.0
1103X,2025-04-30,4.4,20.6,22.0
1639X,2025-04-30,3.1,9.2,27.0
1518A,2025-04-30,1.4,6.9,30.0
1283U,2025-04-30,2.5,18.6,32.0
B051A,2025-04-30,2.2,10.8,15.0
4410X,2025-04-30,2.5,8.1,20.0
7012C,2025-04-30,3.3,12.8,5.0
5612B,2025-04-30,3.9,12.5,17.0
3129,2025-04-30,2.8,13.9,14.0
1690A,2025-04-30,1.1,5.8,11.0
3200,2025-04-30,6.9,14.4,25.0
6201X,2025-04-30,2.2,10.0,12.0
2863C,2025-04-30,5.8,16.7,22.0
1010X,2025-04-30,2.2,9.4,22.0
1012P,2025-04-30,2.5,19.7,14.0
7275C,2025-04-30,6.9,15.0,5.0
B087X,2025-04-30,4.7,17.8,13.0
4520X,2025-04-30,1.9,7.5,17.0
9838B,2025-04-30,2.5,9.4,28.0
6042I,2025-04-30,1.9,10.8,12.0
2182C,2025-04-30,5.8,16.7,99.0
1014A,2025-04-30,4.4,18.1,16.0
C249I,2025-04-30,4.2,12.8,33.0
C839X,2025-04-30,3.3,7.5,26.0
9590D,2025-04-30,2.2,8.3,99.0
C629Q,2025-04-30,2.5,8.6,2.0
2873X,2025-04-30,3.1,16.4,24.0
B870C,2025-04-30,3.6,10.3,8.0
5906X,2025-04-30,3.1,11.1,14.0
B614E,2025-04-30,4.4,11.4,6.0
3516X,2025-04-30,5.6,15.8,7.0
2512Y,2025-04-30,5.3,16.1,19.0
1475X,2025-04-30,0.8,6.7,24.0
1495,2025-04-30,2.2,11.7,24.0
4091Y,2025-04-30,5.8,16.1,6.0
3547X,2025-04-30,1.4,11.1,20.0
C447A,2025-04-30,5.6,11.7,99.0
1167J,2025-04-30,1.1,27.2,23.0
5429X,2025-04-30,2.5,15.0,26.0
2539,2025-04-30,2.5,21.7,25.0
9947X,2025-04-30,5.0,12.5,8.0
1024E,2025-04-30,10.3,24.2,18.0
1740,2025-04-30,5.0,15.0,16.0
6084X,2025-04-30,3.3,11.4,12.0
0076,2025-04-30,5.6,11.4,10.0
C314Z,2025-04-30,7.2,17.8,28.0
C258K,2025-04-30,2.8,9.4,29.0
C614H,2025-04-30,1.7,9.2,22.0
1025A,2025-04-30,3.9,16.1,9.0
8175,2025-04-30,6.4,15.3,9.0
2106B,2025-04-30,6.1,16.1,12.0
1083L,2025-04-30,5.3,16.4,16.0
5516D,2025-04-30,11.9,28.1,20.0
6213X,2025-04-30,1.4,7.8,99.0
5514,2025-04-30,3.6,12.2,18.0
6325O,2025-04-30,11.1,19.7,6.0
4527X,2025-04-30,2.2,10.0,18.0
1631E,2025-04-30,2.5,10.3,26.0
1060X,2025-04-30,5.3,15.8,18.0
C406G,2025-04-30,4.7,15.6,20.0
2742R,2025-04-30,5.8,22.5,20.0
2172Y,2025-04-30,1.9,18.6,25.0
1135C,2025-04-30,2.2,14.7,11.0
1159,2025-04-30,2.2,15.6,27.0
2092,2025-04-30,7.8,14.7,10.0
3021Y,2025-04-30,3.3,9.7,7.0
4486X,2025-04-30,1.7,7.8,16.0
C612F,2025-04-30,1.9,8.9,29.0
4340,2025-04-30,1.9,13.1,29.0
1002Y,2025-04-30,2.2,10.0,22.0
4244X,2025-04-30,1.9,12.5,24.0
1109X,2025-04-30,3.3,15.0,22.0
3576X,2025-04-30,2.2,7.8,17.0
2117D,2025-04-30,5.3,16.4,12.0
3268C,2025-04-30,3.1,10.8,18.0
1473A,2025-04-30,1.1,7.2,25.0
9069C,2025-04-30,3.3,15.3,14.0
9188,2025-04-30,3.6,13.9,14.0
1203D,2025-04-30,1.4,14.2,25.0
2400E,2025-04-30,3.6,18.6,25.0
5983X,2025-04-30,3.1,11.7,11.0
0363X,2025-04-30,1.1,7.2,13.0
3094B,2025-04-30,7.2,16.4,11.0
2885K,2025-04-30,5.6,17.2,23.0
1212E,2025-04-30,2.2,13.3,99.0
8293X,2025-04-30,3.6,9.2,6.0
7012D,2025-04-30,4.7,13.6,2.0
3514B,2025-04-30,3.1,17.5,25.0
3463Y,2025-04-30,1.4,10.3,22.0
0016A,2025-04-30,5.8,11.4,11.0
5998X,2025-04-30,2.8,11.4,17.0
2624C,2025-04-30,1.7,21.9,18.0
6050X,2025-04-30,2.5,11.1,24.0
6127X,2025-04-30,4.4,10.3,24.0
9436X,2025-04-30,4.4,11.4,99.0
4464X,2025-04-30,1.9,6.1,13.0
6335O,2025-04-30,3.9,10.8,12.0
3386A,2025-04-30,1.7,14.2,30.0
9988B,2025-04-30,5.6,12.8,17.0
9784P,2025-04-30,1.1,6.7,16.0
2296A,2025-04-30,7.5,16.7,13.0
5279X,2025-04-30,2.2,12.5,25.0
1341B,2025-04-30,2.2,16.7,19.0
9201X,2025-04-30,4.4,11.9,14.0
0394X,2025-04-30,1.7,8.1,6.0
1089U,2025-04-30,2.5,14.2,31.0
1226X,2025-04-30,0.8,10.0,14.0
3104Y,2025-04-30,1.9,11.4,15.0
5281X,2025-04-30,1.9,11.7,22.0
1014,2025-04-30,4.4,18.1,16.0
9460X,2025-04-30,2.5,10.3,8.0
C635B,2025-04-30,1.1,6.4,16.0
4511C,2025-04-30,2.8,9.4,24.0
4147X,2025-04-30,2.5,8.3,21.0
B780X,2025-04-30,3.3,10.0,1.0
4090Y,2025-04-30,8.1,17.5,9.0
4093Y,2025-04-30,6.9,18.1,11.0
4236Y,2025-04-30,4.2,11.4,26.0
4070Y,2025-04-30,7.2,15.0,15.0
4452,2025-04-30,2.5,6.1,26.0
1249X,2025-04-30,2.2,8.9,4.0
8057C,2025-04-30,1.7,8.3,6.0
1297E,2025-04-30,3.9,12.5,27.0
0312X,2025-04-30,1.4,7.2,13.0
1327A,2025-04-30,1.1,11.1,20.0
9638D,2025-04-30,4.4,13.3,17.0
8354X,2025-04-30,3.6,11.1,10.0
2285B,2025-04-30,5.8,17.8,24.0
1082,2025-04-30,4.4,20.0,13.0
7227X,2025-04-30,3.9,12.5,4.0
8520X,2025-04-30,5.6,13.6,14.0
3337U,2025-04-30,2.2,11.1,11.0
5972X,2025-04-30,3.3,9.7,13.0
5960,2025-04-30,3.6,13.3,99.0
7237E,2025-04-30,3.6,14.2,14.0
3565X,2025-04-30,3.6,11.1,8.0
1183X,2025-04-30,1.1,12.8,26.0
5654X,2025-04-30,1.9,10.8,22.0
8472A,2025-04-30,3.6,13.1,18.0
