station_id,date,wind_vmean_m_s,wind_racha_m_s,wind_dir_racha_d_g
9073X,2025-04-25,0.8,10.6,24.0
9073X,2025-04-26,4.2,10.3,33.0
9073X,2025-04-27,1.9,6.1,33.0
9073X,2025-04-28,3.6,15.8,16.0
9073X,2025-04-29,9.2,21.4,14.0
9073X,2025-04-30,11.9,23.6,13.0
