OMIE - Mercado de electricidad;Fecha Emisión :01/02/2024 - 17:58;;02/02/2024;M.Intradiario para el día, sesión - Nº 2;;;;

Hora;Fecha;Pais;Unidad;Tipo Oferta;Energía Compra/Venta;Precio Compra/Venta;Ofertada (O)/Casada (C);
1;02/02/2024;MI;WMVD101;C;0,4;1.002,00;O;
1;02/02/2024;MI;BPC01;C;0,1;1.002,00;O;
1;02/02/2024;MI;NXVD315;C;0,2;700,00;O;
1;02/02/2024;MI;NXVD316;C;0,5;700,00;O;
1;02/02/2024;MI;NXVD314;C;0,4;700,00;O;
1;02/02/2024;MI;NXVD267;C;1,7;700,00;O;
1;02/02/2024;MI;NXVD235;C;0,1;700,00;O;
1;02/02/2024;MI;NXVD211;C;0,6;700,00;O;
1;02/02/2024;MI;LUZBV02;C;0,8;700,00;O;
1;02/02/2024;MI;NXVD168;C;0,1;700,00;O;
1;02/02/2024;MI;NXVD169;C;0,1;700,00;O;
1;02/02/2024;MI;NXVD165;C;0,1;700,00;O;
1;02/02/2024;MI;NXVD166;C;0,1;700,00;O;
1;02/02/2024;MI;NEXVD88;C;0,1;700,00;O;
1;02/02/2024;MI;NEXVD46;C;0,1;700,00;O;
1;02/02/2024;MI;NXVD208;C;0,8;700,00;O;
1;02/02/2024;MI;EGLEVD1;C;0,1;500,00;O;
1;02/02/2024;MI;EGVD404;C;2,1;500,00;O;
1;02/02/2024;MI;EGLEV2;C;0,1;500,00;O;
1;02/02/2024;MI;EGVD098;C;0,1;500,00;O;
1;02/02/2024;MI;EGVD379;C;2,2;500,00;O;
1;02/02/2024;MI;EGVD052;C;0,2;500,00;O;
1;02/02/2024;MI;EGVD156;C;0,1;500,00;O;
1;02/02/2024;MI;EGVD051;C;0,3;500,00;O;
1;02/02/2024;MI;EGVD077;C;0,4;500,00;O;
1;02/02/2024;MI;EGVD255;C;0,1;500,00;O;
1;02/02/2024;MI;EGVD467;C;1,9;500,00;O;
1;02/02/2024;MI;EGLEC01;C;33,7;500,00;O;
1;02/02/2024;MI;GNCOC01;C;24,9;500,00;O;
1;02/02/2024;MI;GNSUC01;C;10,8;500,00;O;
1;02/02/2024;MI;GNSEC01;C;3,6;500,00;O;
1;02/02/2024;MI;EGVD160;C;0,2;500,00;O;
1;02/02/2024;MI;EGVD221;C;0,1;500,00;O;
1;02/02/2024;MI;EGVD375;C;6,0;500,00;O;
1;02/02/2024;MI;EGVD152;C;0,5;500,00;O;
1;02/02/2024;MI;EGVD106;C;0,9;500,00;O;
1;02/02/2024;MI;EGVD107;C;12,6;500,00;O;
1;02/02/2024;MI;EGVD115;C;0,3;500,00;O;
1;02/02/2024;MI;EDRE013;C;0,3;451,00;O;
1;02/02/2024;MI;EDRE019;C;0,8;451,00;O;
1;02/02/2024;MI;EDRE022;C;0,1;451,00;O;
1;02/02/2024;MI;EDRE021;C;0,1;451,00;O;
1;02/02/2024;MI;EGEDVD3;C;0,2;451,00;O;
1;02/02/2024;MI;EBLVD43;C;0,1;400,00;O;
1;02/02/2024;MI;TLCRC01;C;13,0;400,00;O;
1;02/02/2024;MI;WMVD088;C;10,5;400,00;O;
1;02/02/2024;MI;EFGVD9;C;0,1;400,00;O;
1;02/02/2024;MI;AMRE011;C;0,2;400,00;O;
1;02/02/2024;MI;EBLVD42;C;0,2;400,00;O;
1;02/02/2024;MI;EBLVD22;C;0,5;400,00;O;
1;02/02/2024;MI;EBLVD23;C;0,1;400,00;O;
1;02/02/2024;MI;EBLVD15;C;0,1;400,00;O;
1;02/02/2024;MI;EBLVD17;C;0,1;400,00;O;
1;02/02/2024;MI;EBLVD16;C;0,3;400,00;O;
1;02/02/2024;MI;EBLCVD7;C;0,5;400,00;O;
1;02/02/2024;MI;EBLVD14;C;0,1;400,00;O;
1;02/02/2024;MI;EBLCVD9;C;0,3;400,00;O;
1;02/02/2024;MI;EBLVD12;C;0,2;400,00;O;
1;02/02/2024;MI;EBLCVD6;C;0,5;400,00;O;
1;02/02/2024;MI;EBLVD10;C;0,2;400,00;O;
1;02/02/2024;MI;EBLCVD4;C;0,1;400,00;O;
1;02/02/2024;MI;EBLCVD1;C;0,8;400,00;O;
1;02/02/2024;MI;EBLVD42;C;0,7;400,00;O;
1;02/02/2024;MI;EBLVD50;C;0,4;400,00;O;
1;02/02/2024;MI;EBLCO01;C;20,0;400,00;O;
1;02/02/2024;MI;EBLVD47;C;0,2;400,00;O;
1;02/02/2024;MI;EBLCVD1;C;0,1;400,00;O;
1;02/02/2024;MI;EBLVD53;C;0,1;400,00;O;
1;02/02/2024;MI;EBLVD45;C;0,1;400,00;O;
1;02/02/2024;MI;EBLVD62;C;0,1;400,00;O;
1;02/02/2024;MI;GALPR01;C;9,7;350,00;O;
1;02/02/2024;MI;ADXVD04;C;0,1;350,00;O;
1;02/02/2024;MI;CEVD004;C;0,1;350,00;O;
1;02/02/2024;MI;CEVD392;C;0,3;350,00;O;
1;02/02/2024;MI;CEVD366;C;0,1;350,00;O;
1;02/02/2024;MI;CEVD376;C;0,2;350,00;O;
1;02/02/2024;MI;CEVD359;C;0,1;350,00;O;
1;02/02/2024;MI;CEVD331;C;0,1;350,00;O;
1;02/02/2024;MI;CEVD350;C;0,1;350,00;O;
1;02/02/2024;MI;CEVD284;C;0,2;350,00;O;
1;02/02/2024;MI;CEVD283;C;0,1;350,00;O;
1;02/02/2024;MI;CEVD266;C;0,6;350,00;O;
1;02/02/2024;MI;CEVD053;C;0,1;350,00;O;
1;02/02/2024;MI;CEVD054;C;0,1;350,00;O;
1;02/02/2024;MI;FORTC01;C;6,5;300,30;O;
1;02/02/2024;MI;VGERE39;C;3,6;300,00;O;
1;02/02/2024;MI;FUTVD06;C;5,1;250,02;O;
1;02/02/2024;MI;GACC01;C;3,1;250,00;O;
1;02/02/2024;MI;JOIRC23;C;0,2;250,00;O;
1;02/02/2024;MI;ROFEC01;C;0,3;250,00;O;
1;02/02/2024;MI;ASIVD02;C;13,0;220,00;O;
