OMIE - Mercado de electricidad;Fecha Emisión :10/02/2024 - 15:17;;11/02/2024;M.Intradiario para el día, sesión - Nº 1;;;;

Hora;Fecha;Pais;Unidad;Tipo Oferta;Energía Compra/Venta;Precio Compra/Venta;Ofertada (O)/Casada (C);
1;11/02/2024;MI;BPRE04;C;2,4;1.002,00;O;
1;11/02/2024;MI;BPRE03;C;2,4;1.002,00;O;
1;11/02/2024;MI;RZABAL;C;55,0;1.002,00;O;
1;11/02/2024;MI;WMVD147;C;0,7;1.002,00;O;
1;11/02/2024;MI;WMVD165;C;0,1;1.002,00;O;
1;11/02/2024;MI;WMVD043;C;2,6;1.002,00;O;
1;11/02/2024;MI;WMVD145;C;0,1;900,00;O;
1;11/02/2024;MI;WMVD088;C;0,7;900,00;O;
1;11/02/2024;MI;IBEVD15;C;2,0;801,00;O;
1;11/02/2024;MI;NEXVD52;C;0,5;700,00;O;
1;11/02/2024;MI;NXVD108;C;0,6;700,00;O;
1;11/02/2024;MI;NXVD315;C;0,1;700,00;O;
1;11/02/2024;MI;NEXVD85;C;0,1;700,00;O;
1;11/02/2024;MI;NXVD313;C;0,7;700,00;O;
1;11/02/2024;MI;NXVD309;C;0,1;700,00;O;
1;11/02/2024;MI;NXVD289;C;0,1;700,00;O;
1;11/02/2024;MI;NXVD308;C;0,3;700,00;O;
1;11/02/2024;MI;NXVD237;C;1,1;700,00;O;
1;11/02/2024;MI;NXVD235;C;0,6;700,00;O;
1;11/02/2024;MI;NXVD236;C;0,1;700,00;O;
1;11/02/2024;MI;NXVD232;C;0,2;700,00;O;
1;11/02/2024;MI;NXVD233;C;0,1;700,00;O;
1;11/02/2024;MI;NXVD234;C;0,6;700,00;O;
1;11/02/2024;MI;NXVD230;C;0,3;700,00;O;
1;11/02/2024;MI;NXVD231;C;0,1;700,00;O;
1;11/02/2024;MI;NXVD229;C;0,4;700,00;O;
1;11/02/2024;MI;NXVD218;C;0,5;700,00;O;
1;11/02/2024;MI;NXVD219;C;11,7;700,00;O;
1;11/02/2024;MI;NXVD211;C;0,8;700,00;O;
1;11/02/2024;MI;NXVD208;C;3,2;700,00;O;
1;11/02/2024;MI;NXVD175;C;0,1;700,00;O;
1;11/02/2024;MI;NXVD166;C;0,4;700,00;O;
1;11/02/2024;MI;NXVD112;C;0,1;700,00;O;
1;11/02/2024;MI;NXVD312;C;0,2;700,00;O;
1;11/02/2024;MI;ADURC01;C;0,5;650,00;O;
1;11/02/2024;MI;WMVD183;C;0,2;600,00;O;
1;11/02/2024;MI;CAMG20X;C;0,4;600,00;O;
1;11/02/2024;MI;EGVD379;C;20,0;500,00;O;
1;11/02/2024;MI;EGVD381;C;0,1;500,00;O;
1;11/02/2024;MI;EGVD408;C;0,1;500,00;O;
1;11/02/2024;MI;EGVD410;C;0,9;500,00;O;
1;11/02/2024;MI;EGVD454;C;0,4;500,00;O;
1;11/02/2024;MI;EGVD076;C;0,7;500,00;O;
1;11/02/2024;MI;EGVD121;C;7,5;500,00;O;
1;11/02/2024;MI;EGVD389;C;6,2;500,00;O;
1;11/02/2024;MI;EGVD391;C;1,8;500,00;O;
1;11/02/2024;MI;EGVD432;C;1,9;500,00;O;
1;11/02/2024;MI;EGVD388;C;2,8;500,00;O;
1;11/02/2024;MI;EGLEVD1;C;0,4;500,00;O;
1;11/02/2024;MI;EGVD152;C;0,7;500,00;O;
1;11/02/2024;MI;EGVD288;C;1,0;500,00;O;
1;11/02/2024;MI;EGVD293;C;2,0;500,00;O;
1;11/02/2024;MI;EGPM003;C;0,3;500,00;O;
1;11/02/2024;MI;EGVD052;C;0,3;500,00;O;
1;11/02/2024;MI;EGVD055;C;0,1;500,00;O;
1;11/02/2024;MI;EGVD056;C;0,2;500,00;O;
1;11/02/2024;MI;EGVD058;C;3,0;500,00;O;
1;11/02/2024;MI;EGVD059;C;0,3;500,00;O;
1;11/02/2024;MI;EGVD065;C;0,4;500,00;O;
1;11/02/2024;MI;EGVD077;C;0,1;500,00;O;
1;11/02/2024;MI;EGVD085;C;0,1;500,00;O;
1;11/02/2024;MI;EGVD092;C;0,1;500,00;O;
1;11/02/2024;MI;EGVD096;C;0,1;500,00;O;
1;11/02/2024;MI;EGVD467;C;0,5;500,00;O;
1;11/02/2024;MI;EGVD098;C;0,4;500,00;O;
1;11/02/2024;MI;EGVD223;C;0,6;500,00;O;
1;11/02/2024;MI;EGVD264;C;0,1;500,00;O;
1;11/02/2024;MI;EGVD289;C;0,6;500,00;O;
1;11/02/2024;MI;EGVD290;C;0,9;500,00;O;
1;11/02/2024;MI;EGVD366;C;0,1;500,00;O;
1;11/02/2024;MI;EDRE018;C;0,9;451,00;O;
1;11/02/2024;MI;EGEDRE3;C;1,9;451,00;O;
1;11/02/2024;MI;EGEDRE5;C;0,3;451,00;O;
1;11/02/2024;MI;EGEDRE6;C;2,1;451,00;O;
1;11/02/2024;MI;EGEDVD3;C;4,7;451,00;O;
1;11/02/2024;MI;EGEDRE2;C;0,4;451,00;O;
1;11/02/2024;MI;EDRE016;C;2,7;451,00;O;
1;11/02/2024;MI;EDRE017;C;1,2;451,00;O;
1;11/02/2024;MI;EGEDRE9;C;2,5;451,00;O;
1;11/02/2024;MI;EDRE029;C;0,6;451,00;O;
1;11/02/2024;MI;EBLVD36;C;0,1;400,00;O;
1;11/02/2024;MI;EBLVD10;C;0,7;400,00;O;
1;11/02/2024;MI;EBLCVD6;C;3,1;400,00;O;
1;11/02/2024;MI;EBLCVD8;C;0,9;400,00;O;
1;11/02/2024;MI;EBLCVD9;C;3,1;400,00;O;
1;11/02/2024;MI;EBLVD59;C;0,2;400,00;O;
1;11/02/2024;MI;EBLVD20;C;0,7;400,00;O;
1;11/02/2024;MI;EBLVD42;C;0,2;400,00;O;
1;11/02/2024;MI;EBLVD56;C;0,8;400,00;O;
1;11/02/2024;MI;EBLVD41;C;0,3;400,00;O;
1;11/02/2024;MI;EBLVD40;C;0,4;400,00;O;
