OMIE - Mercado de electricidad;Fecha Emisión :13/02/2024 - 01:57;;13/02/2024;M.Intradiario para el día, sesión - Nº 4;;;;

Hora;Fecha;Pais;Unidad;Tipo Oferta;Energía Compra/Venta;Precio Compra/Venta;Ofertada (O)/Casada (C);
5;13/02/2024;MI;WMVD101;C;0,3;1.002,00;O;
5;13/02/2024;MI;WMVD090;C;0,5;1.002,00;O;
5;13/02/2024;MI;LMA1;C;0,1;1.002,00;O;
5;13/02/2024;MI;FORTC01;C;10,0;800,00;O;
5;13/02/2024;MI;NXVD117;C;0,1;700,00;O;
5;13/02/2024;MI;NXVD126;C;0,3;700,00;O;
5;13/02/2024;MI;NXVD167;C;0,1;700,00;O;
5;13/02/2024;MI;NXVD114;C;0,1;700,00;O;
5;13/02/2024;MI;NXVD313;C;1,1;700,00;O;
5;13/02/2024;MI;NXVD208;C;0,1;700,00;O;
5;13/02/2024;MI;NXVD168;C;0,8;700,00;O;
5;13/02/2024;MI;NXVD169;C;0,1;700,00;O;
5;13/02/2024;MI;NXVD312;C;0,3;700,00;O;
5;13/02/2024;MI;NXVD100;C;0,1;700,00;O;
5;13/02/2024;MI;NXVD309;C;0,3;700,00;O;
5;13/02/2024;MI;NXVD308;C;0,4;700,00;O;
5;13/02/2024;MI;NXVD228;C;0,3;700,00;O;
5;13/02/2024;MI;NXVD227;C;0,1;700,00;O;
5;13/02/2024;MI;NXVD226;C;0,1;700,00;O;
5;13/02/2024;MI;NXVD218;C;0,3;700,00;O;
5;13/02/2024;MI;ADURC01;C;0,3;650,00;O;
5;13/02/2024;MI;EGVD160;C;0,2;500,00;O;
5;13/02/2024;MI;EGVD152;C;0,1;500,00;O;
5;13/02/2024;MI;EGVD257;C;0,2;500,00;O;
5;13/02/2024;MI;EGLEVD1;C;0,1;500,00;O;
5;13/02/2024;MI;EGVD076;C;1,9;500,00;O;
5;13/02/2024;MI;EGVD288;C;1,6;500,00;O;
5;13/02/2024;MI;EGVD083;C;0,2;500,00;O;
5;13/02/2024;MI;EGVD357;C;0,4;500,00;O;
5;13/02/2024;MI;EGLEV2;C;1,5;500,00;O;
5;13/02/2024;MI;EGVD289;C;0,2;500,00;O;
5;13/02/2024;MI;EGVD290;C;0,2;500,00;O;
5;13/02/2024;MI;EGVD379;C;1,8;500,00;O;
5;13/02/2024;MI;EGVD052;C;0,5;500,00;O;
5;13/02/2024;MI;EGVD055;C;0,2;500,00;O;
5;13/02/2024;MI;EGEDRE3;C;0,3;451,00;O;
5;13/02/2024;MI;EGEDVD6;C;0,9;451,00;O;
5;13/02/2024;MI;ACCGV02;C;0,1;451,00;O;
5;13/02/2024;MI;EDRE014;C;1,5;451,00;O;
5;13/02/2024;MI;EDRE017;C;1,9;451,00;O;
5;13/02/2024;MI;EDRE027;C;0,2;451,00;O;
5;13/02/2024;MI;EBLCVD7;C;0,7;400,00;O;
5;13/02/2024;MI;EBLVD56;C;0,3;400,00;O;
5;13/02/2024;MI;EBLCVD8;C;1,4;400,00;O;
5;13/02/2024;MI;EBLVD10;C;0,2;400,00;O;
5;13/02/2024;MI;EBLCVD6;C;0,5;400,00;O;
5;13/02/2024;MI;EBLVD35;C;0,2;400,00;O;
5;13/02/2024;MI;EBLVD50;C;0,3;400,00;O;
5;13/02/2024;MI;EBLVD42;C;0,2;400,00;O;
5;13/02/2024;MI;EBLVD45;C;0,1;400,00;O;
5;13/02/2024;MI;EBLVD54;C;0,2;400,00;O;
5;13/02/2024;MI;EBLVD49;C;0,2;400,00;O;
5;13/02/2024;MI;EBLVD58;C;0,1;400,00;O;
5;13/02/2024;MI;EBLVD44;C;0,1;400,00;O;
5;13/02/2024;MI;EBLVD51;C;0,1;400,00;O;
5;13/02/2024;MI;EBLVD14;C;0,1;400,00;O;
5;13/02/2024;MI;EBLVD20;C;0,4;400,00;O;
5;13/02/2024;MI;EBLVD23;C;0,4;400,00;O;
5;13/02/2024;MI;WMVD193;C;9,9;400,00;O;
5;13/02/2024;MI;TLCRC01;C;9,7;400,00;O;
5;13/02/2024;MI;TLCMC01;C;1,6;400,00;O;
5;13/02/2024;MI;EBLCVD9;C;0,4;400,00;O;
5;13/02/2024;MI;RSPRC01;C;0,7;351,00;O;
5;13/02/2024;MI;CEVD350;C;0,9;350,00;O;
5;13/02/2024;MI;CEVD366;C;0,4;350,00;O;
5;13/02/2024;MI;CEVD282;C;0,4;350,00;O;
5;13/02/2024;MI;CEVD283;C;0,1;350,00;O;
5;13/02/2024;MI;CEVD351;C;0,1;350,00;O;
5;13/02/2024;MI;CEVD329;C;0,1;350,00;O;
5;13/02/2024;MI;CEVD331;C;0,1;350,00;O;
5;13/02/2024;MI;CEVD332;C;0,7;350,00;O;
5;13/02/2024;MI;CLIVD24;C;1,3;300,00;O;
5;13/02/2024;MI;CLIVD25;C;3,1;300,00;O;
5;13/02/2024;MI;CLIVD21;C;5,7;300,00;O;
5;13/02/2024;MI;CLIVD22;C;5,8;300,00;O;
5;13/02/2024;MI;CLIVD19;C;5,4;300,00;O;
5;13/02/2024;MI;CLIVD20;C;5,7;300,00;O;
5;13/02/2024;MI;CLIVD17;C;8,1;300,00;O;
5;13/02/2024;MI;CLIVD18;C;5,6;300,00;O;
5;13/02/2024;MI;CLIDC01;C;20,0;300,00;O;
5;13/02/2024;MI;CLIVD23;C;5,9;300,00;O;
5;13/02/2024;MI;CLIDV02;C;2,4;300,00;O;
5;13/02/2024;MI;NEXUC01;C;14,2;240,00;O;
5;13/02/2024;MI;GNVD130;C;0,4;200,00;O;
5;13/02/2024;MI;EGLRM01;C;0,5;200,00;O;
5;13/02/2024;MI;FENVD06;C;0,1;200,00;O;
5;13/02/2024;MI;GNRVD35;C;3,2;200,00;O;
5;13/02/2024;MI;GNVD150;C;0,1;200,00;O;
5;13/02/2024;MI;UFTA;C;4,0;180,00;O;
5;13/02/2024;MI;UFMI;C;12,0;180,00;O;
5;13/02/2024;MI;GASNVD2;C;0,6;180,00;O;
