OMIE - Mercado de electricidad;Fecha Emisión :12/02/2024 - 15:10;;13/02/2024;M.Intradiario para el día, sesión - Nº 1;;;;

Hora;Fecha;Pais;Unidad;Tipo Oferta;Energía Compra/Venta;Precio Compra/Venta;Ofertada (O)/Casada (C);
1;13/02/2024;MI;SOL2;C;0,1;1.002,00;O;
1;13/02/2024;MI;WMVD090;C;0,1;1.002,00;O;
1;13/02/2024;MI;EUCDR01;C;1,0;1.002,00;O;
1;13/02/2024;MI;WMVD204;C;0,2;1.002,00;O;
1;13/02/2024;MI;WMVD165;C;0,2;1.002,00;O;
1;13/02/2024;MI;WMVD184;C;0,1;1.002,00;O;
1;13/02/2024;MI;NXVD309;C;0,1;700,00;O;
1;13/02/2024;MI;NXVD311;C;0,1;700,00;O;
1;13/02/2024;MI;NXVD238;C;0,5;700,00;O;
1;13/02/2024;MI;NXVD289;C;0,1;700,00;O;
1;13/02/2024;MI;NXVD233;C;0,2;700,00;O;
1;13/02/2024;MI;NXVD229;C;0,2;700,00;O;
1;13/02/2024;MI;NXVD219;C;18,4;700,00;O;
1;13/02/2024;MI;NXVD208;C;0,7;700,00;O;
1;13/02/2024;MI;NXVD209;C;0,2;700,00;O;
1;13/02/2024;MI;NXVD210;C;0,1;700,00;O;
1;13/02/2024;MI;NXVD169;C;1,3;700,00;O;
1;13/02/2024;MI;NXVD168;C;2,1;700,00;O;
1;13/02/2024;MI;NXVD166;C;1,1;700,00;O;
1;13/02/2024;MI;NXVD152;C;0,8;700,00;O;
1;13/02/2024;MI;NXVD117;C;0,2;700,00;O;
1;13/02/2024;MI;NXVD112;C;0,1;700,00;O;
1;13/02/2024;MI;NXVD114;C;0,2;700,00;O;
1;13/02/2024;MI;NEXVD52;C;0,1;700,00;O;
1;13/02/2024;MI;NXVD313;C;0,7;700,00;O;
1;13/02/2024;MI;NXVD312;C;0,4;700,00;O;
1;13/02/2024;MI;NXVD315;C;0,3;700,00;O;
1;13/02/2024;MI;NXVD316;C;0,4;700,00;O;
1;13/02/2024;MI;NEXVD25;C;9,3;700,00;O;
1;13/02/2024;MI;NEXVD33;C;8,6;700,00;O;
1;13/02/2024;MI;NEXVD36;C;18,0;700,00;O;
1;13/02/2024;MI;NEXVD23;C;12,5;700,00;O;
1;13/02/2024;MI;NXVD108;C;0,6;700,00;O;
1;13/02/2024;MI;NXVD100;C;0,3;700,00;O;
1;13/02/2024;MI;ADURC01;C;0,4;650,00;O;
1;13/02/2024;MI;CAMG20X;C;0,4;600,00;O;
1;13/02/2024;MI;EGLEV2;C;0,3;500,00;O;
1;13/02/2024;MI;EGVD106;C;0,9;500,00;O;
1;13/02/2024;MI;EGVD432;C;1,9;500,00;O;
1;13/02/2024;MI;EGVD064;C;0,1;500,00;O;
1;13/02/2024;MI;EGVD379;C;0,1;500,00;O;
1;13/02/2024;MI;EGVD476;C;0,3;500,00;O;
1;13/02/2024;MI;EGVD160;C;0,4;500,00;O;
1;13/02/2024;MI;EGVD264;C;0,1;500,00;O;
1;13/02/2024;MI;EGVD381;C;0,1;500,00;O;
1;13/02/2024;MI;EGVD060;C;0,1;500,00;O;
1;13/02/2024;MI;EGVD056;C;0,1;500,00;O;
1;13/02/2024;MI;EGVD098;C;0,2;500,00;O;
1;13/02/2024;MI;EGVD366;C;0,6;500,00;O;
1;13/02/2024;MI;EGVD095;C;0,2;500,00;O;
1;13/02/2024;MI;EGVD096;C;0,6;500,00;O;
1;13/02/2024;MI;EGVD265;C;0,2;500,00;O;
1;13/02/2024;MI;EGVD210;C;0,2;500,00;O;
1;13/02/2024;MI;EGVD115;C;0,2;500,00;O;
1;13/02/2024;MI;EGVD408;C;0,9;500,00;O;
1;13/02/2024;MI;EGVD471;C;0,9;500,00;O;
1;13/02/2024;MI;EGVD255;C;0,1;500,00;O;
1;13/02/2024;MI;EGVD068;C;0,1;500,00;O;
1;13/02/2024;MI;EGVD114;C;0,1;500,00;O;
1;13/02/2024;MI;EGVD258;C;0,1;500,00;O;
1;13/02/2024;MI;EGVD410;C;0,3;500,00;O;
1;13/02/2024;MI;EGVD291;C;0,7;500,00;O;
1;13/02/2024;MI;EGVD293;C;0,2;500,00;O;
1;13/02/2024;MI;EGVD288;C;0,7;500,00;O;
1;13/02/2024;MI;GALVD30;C;49,9;500,00;O;
1;13/02/2024;MI;GALVD29;C;49,9;500,00;O;
1;13/02/2024;MI;EGVD221;C;1,9;500,00;O;
1;13/02/2024;MI;EGVD121;C;7,5;500,00;O;
1;13/02/2024;MI;EDRE022;C;0,1;451,00;O;
1;13/02/2024;MI;EDRE012;C;0,4;451,00;O;
1;13/02/2024;MI;EDRE016;C;0,7;451,00;O;
1;13/02/2024;MI;EDRE015;C;0,1;451,00;O;
1;13/02/2024;MI;EDRE019;C;0,4;451,00;O;
1;13/02/2024;MI;EDRE018;C;2,8;451,00;O;
1;13/02/2024;MI;EGEDVD3;C;6,3;451,00;O;
1;13/02/2024;MI;ACCGV02;C;0,1;451,00;O;
1;13/02/2024;MI;EDRE021;C;0,2;451,00;O;
1;13/02/2024;MI;EDRE029;C;0,1;451,00;O;
1;13/02/2024;MI;EGEDRE5;C;5,2;451,00;O;
1;13/02/2024;MI;EGEDRE3;C;2,6;451,00;O;
1;13/02/2024;MI;EGEDRE2;C;0,7;451,00;O;
1;13/02/2024;MI;EDRE017;C;3,8;451,00;O;
1;13/02/2024;MI;EBLVD40;C;0,1;400,00;O;
1;13/02/2024;MI;EBLVD56;C;0,2;400,00;O;
1;13/02/2024;MI;EBLVD59;C;0,1;400,00;O;
1;13/02/2024;MI;SESVD02;C;0,1;400,00;O;
1;13/02/2024;MI;AMRE011;C;0,2;400,00;O;
1;13/02/2024;MI;WMVD193;C;0,9;400,00;O;
1;13/02/2024;MI;EBLVD60;C;0,2;400,00;O;
1;13/02/2024;MI;EBLVD62;C;0,1;400,00;O;
1;13/02/2024;MI;EBLVD20;C;0,2;400,00;O;
1;13/02/2024;MI;EBLVD17;C;0,4;400,00;O;
