OMIE - Mercado de electricidad;Fecha Emisión :09/02/2024 - 17:20;;10/02/2024;M.Intradiario para el día, sesión - Nº 2;;;;

Hora;Fecha;Pais;Unidad;Tipo Oferta;Energía Compra/Venta;Precio Compra/Venta;Ofertada (O)/Casada (C);
1;10/02/2024;MI;WMVD204;C;0,7;1.002,00;O;
1;10/02/2024;MI;WMVD168;C;14,8;1.002,00;O;
1;10/02/2024;MI;WMVD169;C;5,3;1.002,00;O;
1;10/02/2024;MI;WMVD090;C;0,4;1.002,00;O;
1;10/02/2024;MI;WMVD170;C;9,8;1.002,00;O;
1;10/02/2024;MI;IBGEVD2;C;45,6;801,00;O;
1;10/02/2024;MI;NEXVD36;C;20,9;700,00;O;
1;10/02/2024;MI;NXVD316;C;0,1;700,00;O;
1;10/02/2024;MI;NXVD314;C;0,2;700,00;O;
1;10/02/2024;MI;NXVD310;C;0,5;700,00;O;
1;10/02/2024;MI;NXVD267;C;1,7;700,00;O;
1;10/02/2024;MI;NXVD268;C;12,0;700,00;O;
1;10/02/2024;MI;NXVD236;C;0,1;700,00;O;
1;10/02/2024;MI;NXVD233;C;0,1;700,00;O;
1;10/02/2024;MI;NXVD231;C;0,1;700,00;O;
1;10/02/2024;MI;NXVD227;C;0,1;700,00;O;
1;10/02/2024;MI;NXVD228;C;0,1;700,00;O;
1;10/02/2024;MI;NXVD219;C;0,5;700,00;O;
1;10/02/2024;MI;NXVD211;C;0,4;700,00;O;
1;10/02/2024;MI;NXVD208;C;12,8;700,00;O;
1;10/02/2024;MI;NXVD209;C;0,5;700,00;O;
1;10/02/2024;MI;NXVD169;C;0,8;700,00;O;
1;10/02/2024;MI;NXVD170;C;0,1;700,00;O;
1;10/02/2024;MI;NXVD167;C;0,1;700,00;O;
1;10/02/2024;MI;NXVD168;C;0,4;700,00;O;
1;10/02/2024;MI;NXVD165;C;0,1;700,00;O;
1;10/02/2024;MI;NXVD166;C;0,1;700,00;O;
1;10/02/2024;MI;NXVD162;C;0,1;700,00;O;
1;10/02/2024;MI;NXVD152;C;0,1;700,00;O;
1;10/02/2024;MI;NXVD147;C;14,0;700,00;O;
1;10/02/2024;MI;NXVD126;C;0,1;700,00;O;
1;10/02/2024;MI;EGVD410;C;0,1;500,00;O;
1;10/02/2024;MI;EGVD074;C;0,2;500,00;O;
1;10/02/2024;MI;EGVD098;C;0,2;500,00;O;
1;10/02/2024;MI;EGVD065;C;0,1;500,00;O;
1;10/02/2024;MI;EGVD104;C;0,7;500,00;O;
1;10/02/2024;MI;EGVD361;C;5,0;500,00;O;
1;10/02/2024;MI;EGVD067;C;45,0;500,00;O;
1;10/02/2024;MI;EGVD389;C;6,2;500,00;O;
1;10/02/2024;MI;EGVD097;C;0,9;500,00;O;
1;10/02/2024;MI;EGVD089;C;0,3;500,00;O;
1;10/02/2024;MI;EGVD146;C;21,8;500,00;O;
1;10/02/2024;MI;EGVD100;C;0,1;500,00;O;
1;10/02/2024;MI;EGVD138;C;0,1;500,00;O;
1;10/02/2024;MI;EGVD053;C;0,1;500,00;O;
1;10/02/2024;MI;EGVD087;C;0,4;500,00;O;
1;10/02/2024;MI;EGVD088;C;0,7;500,00;O;
1;10/02/2024;MI;EGVD379;C;1,1;500,00;O;
1;10/02/2024;MI;GNCOC01;C;26,6;500,00;O;
1;10/02/2024;MI;EGVD052;C;0,3;500,00;O;
1;10/02/2024;MI;EGVD051;C;0,2;500,00;O;
1;10/02/2024;MI;EGVD183;C;0,1;500,00;O;
1;10/02/2024;MI;GNSEC01;C;22,0;500,00;O;
1;10/02/2024;MI;GNSUC01;C;22,7;500,00;O;
1;10/02/2024;MI;EGVD086;C;1,1;500,00;O;
1;10/02/2024;MI;EGVD210;C;0,1;500,00;O;
1;10/02/2024;MI;EGVD264;C;0,1;500,00;O;
1;10/02/2024;MI;EGVD408;C;0,4;500,00;O;
1;10/02/2024;MI;EGVD096;C;0,1;500,00;O;
1;10/02/2024;MI;EGVD055;C;0,1;500,00;O;
1;10/02/2024;MI;EGVD056;C;2,2;500,00;O;
1;10/02/2024;MI;EDRE021;C;0,1;451,00;O;
1;10/02/2024;MI;EGEDVD4;C;0,5;451,00;O;
1;10/02/2024;MI;EGEDRE6;C;191,2;451,00;O;
1;10/02/2024;MI;EGEDRE2;C;0,2;451,00;O;
1;10/02/2024;MI;EGEDRE3;C;2,8;451,00;O;
1;10/02/2024;MI;EDRE015;C;0,1;451,00;O;
1;10/02/2024;MI;EDRE017;C;1,4;451,00;O;
1;10/02/2024;MI;EDRE022;C;0,1;451,00;O;
1;10/02/2024;MI;EDRE027;C;0,4;451,00;O;
1;10/02/2024;MI;EDRE018;C;52,4;451,00;O;
1;10/02/2024;MI;EGEDRE5;C;2,1;451,00;O;
1;10/02/2024;MI;EBLVD53;C;0,2;400,00;O;
1;10/02/2024;MI;EBLVD58;C;0,1;400,00;O;
1;10/02/2024;MI;EBLCVD1;C;0,1;400,00;O;
1;10/02/2024;MI;EBLVD47;C;0,4;400,00;O;
1;10/02/2024;MI;EBLVD48;C;0,2;400,00;O;
1;10/02/2024;MI;EBLVD33;C;1,4;400,00;O;
1;10/02/2024;MI;EBLVD11;C;0,1;400,00;O;
1;10/02/2024;MI;EBLCVD7;C;0,4;400,00;O;
1;10/02/2024;MI;EBLVD51;C;0,6;400,00;O;
1;10/02/2024;MI;EBLVD13;C;0,1;400,00;O;
1;10/02/2024;MI;EBLVD24;C;0,2;400,00;O;
1;10/02/2024;MI;EBLCVD1;C;0,2;400,00;O;
1;10/02/2024;MI;EBLVD60;C;0,3;400,00;O;
1;10/02/2024;MI;EBLVD33;C;2,4;400,00;O;
1;10/02/2024;MI;TLCRC01;C;10,2;400,00;O;
1;10/02/2024;MI;TLCMC01;C;0,9;400,00;O;
1;10/02/2024;MI;AMRE038;C;0,1;400,00;O;
1;10/02/2024;MI;EBLCVD1;C;0,2;400,00;O;
1;10/02/2024;MI;EBLVD46;C;0,3;400,00;O;
