OMIE - Mercado de electricidad;Fecha Emisión :14/02/2024 - 12:09;;10/02/2024;M.Intradiario para el día, sesión - Nº 1;;;;

Hora;Fecha;Pais;Unidad;Tipo Oferta;Energía Compra/Venta;Precio Compra/Venta;Ofertada (O)/Casada (C);
1;10/02/2024;MI;WMVD181;C;2,0;1.002,00;O;
1;10/02/2024;MI;WMVD173;C;2,0;1.002,00;O;
1;10/02/2024;MI;WMVD043;C;2,6;1.002,00;O;
1;10/02/2024;MI;WMVD169;C;4,7;1.002,00;O;
1;10/02/2024;MI;WMVD147;C;1,4;1.002,00;O;
1;10/02/2024;MI;WMVD180;C;2,1;1.002,00;O;
1;10/02/2024;MI;WMVD193;C;0,6;900,00;O;
1;10/02/2024;MI;WMVD189;C;1,0;900,00;O;
1;10/02/2024;MI;IBGEVD2;C;75,6;801,00;O;
1;10/02/2024;MI;NEXVD46;C;0,7;700,00;O;
1;10/02/2024;MI;NEXVD52;C;0,1;700,00;O;
1;10/02/2024;MI;NEXVD25;C;7,8;700,00;O;
1;10/02/2024;MI;NEXVD33;C;8,6;700,00;O;
1;10/02/2024;MI;NEXVD09;C;0,1;700,00;O;
1;10/02/2024;MI;NXVD289;C;0,1;700,00;O;
1;10/02/2024;MI;NXVD233;C;0,2;700,00;O;
1;10/02/2024;MI;NXVD234;C;0,2;700,00;O;
1;10/02/2024;MI;NXVD235;C;0,1;700,00;O;
1;10/02/2024;MI;NXVD232;C;0,1;700,00;O;
1;10/02/2024;MI;NXVD229;C;0,3;700,00;O;
1;10/02/2024;MI;NXVD230;C;0,1;700,00;O;
1;10/02/2024;MI;NXVD219;C;14,8;700,00;O;
1;10/02/2024;MI;NXVD210;C;0,3;700,00;O;
1;10/02/2024;MI;NXVD175;C;0,2;700,00;O;
1;10/02/2024;MI;NXVD174;C;1,9;700,00;O;
1;10/02/2024;MI;NXVD168;C;0,2;700,00;O;
1;10/02/2024;MI;NXVD169;C;0,2;700,00;O;
1;10/02/2024;MI;NXVD166;C;0,6;700,00;O;
1;10/02/2024;MI;NXVD162;C;0,4;700,00;O;
1;10/02/2024;MI;NXVD152;C;0,4;700,00;O;
1;10/02/2024;MI;NXVD126;C;0,2;700,00;O;
1;10/02/2024;MI;NXVD112;C;0,1;700,00;O;
1;10/02/2024;MI;NEXVD23;C;12,5;700,00;O;
1;10/02/2024;MI;ADURC01;C;0,5;650,00;O;
1;10/02/2024;MI;EGVD476;C;0,3;500,00;O;
1;10/02/2024;MI;EGVD176;C;8,5;500,00;O;
1;10/02/2024;MI;EGVD225;C;0,2;500,00;O;
1;10/02/2024;MI;EGVD095;C;0,1;500,00;O;
1;10/02/2024;MI;EGVD096;C;0,2;500,00;O;
1;10/02/2024;MI;EGVD114;C;0,3;500,00;O;
1;10/02/2024;MI;EGVD115;C;1,4;500,00;O;
1;10/02/2024;MI;EGVD156;C;0,1;500,00;O;
1;10/02/2024;MI;EGVD257;C;0,1;500,00;O;
1;10/02/2024;MI;EGVD258;C;0,1;500,00;O;
1;10/02/2024;MI;EGVD051;C;0,1;500,00;O;
1;10/02/2024;MI;EGVD052;C;0,2;500,00;O;
1;10/02/2024;MI;EGVD055;C;1,1;500,00;O;
1;10/02/2024;MI;EGVD058;C;0,4;500,00;O;
1;10/02/2024;MI;EGVD060;C;0,7;500,00;O;
1;10/02/2024;MI;EGVD074;C;0,2;500,00;O;
1;10/02/2024;MI;EGVD083;C;0,6;500,00;O;
1;10/02/2024;MI;EGVD086;C;1,9;500,00;O;
1;10/02/2024;MI;EGVD098;C;0,3;500,00;O;
1;10/02/2024;MI;EGVD478;C;0,1;500,00;O;
1;10/02/2024;MI;EGVD379;C;0,4;500,00;O;
1;10/02/2024;MI;EGVD408;C;0,4;500,00;O;
1;10/02/2024;MI;EGVD097;C;1,6;500,00;O;
1;10/02/2024;MI;EGVD231;C;8,3;500,00;O;
1;10/02/2024;MI;EGVD263;C;0,9;500,00;O;
1;10/02/2024;MI;EGVD391;C;1,8;500,00;O;
1;10/02/2024;MI;EGVD432;C;1,9;500,00;O;
1;10/02/2024;MI;EGVD288;C;0,4;500,00;O;
1;10/02/2024;MI;EGVD293;C;0,8;500,00;O;
1;10/02/2024;MI;EGVD107;C;12,6;500,00;O;
1;10/02/2024;MI;EGVD121;C;7,5;500,00;O;
1;10/02/2024;MI;EGVD155;C;9,9;500,00;O;
1;10/02/2024;MI;EGLEV2;C;3,2;500,00;O;
1;10/02/2024;MI;ACCGV02;C;0,1;451,00;O;
1;10/02/2024;MI;EDRE014;C;0,2;451,00;O;
1;10/02/2024;MI;EDRE013;C;0,4;451,00;O;
1;10/02/2024;MI;EDRE019;C;0,4;451,00;O;
1;10/02/2024;MI;EDRE018;C;1,5;451,00;O;
1;10/02/2024;MI;EGEDRE5;C;0,1;451,00;O;
1;10/02/2024;MI;EDRE016;C;2,6;451,00;O;
1;10/02/2024;MI;EDRE022;C;0,1;451,00;O;
1;10/02/2024;MI;EGEDRE3;C;1,1;451,00;O;
1;10/02/2024;MI;EGEDVD3;C;14,1;451,00;O;
1;10/02/2024;MI;EGEDRE6;C;0,1;451,00;O;
1;10/02/2024;MI;EDRE017;C;2,4;451,00;O;
1;10/02/2024;MI;EBLVD60;C;0,1;400,00;O;
1;10/02/2024;MI;EBLVD38;C;10,0;400,00;O;
1;10/02/2024;MI;EBLVD25;C;0,4;400,00;O;
1;10/02/2024;MI;EBLVD22;C;0,4;400,00;O;
1;10/02/2024;MI;EBLVD23;C;0,1;400,00;O;
1;10/02/2024;MI;EBLVD21;C;0,1;400,00;O;
1;10/02/2024;MI;EBLVD12;C;0,1;400,00;O;
1;10/02/2024;MI;EBLCVD3;C;0,7;400,00;O;
1;10/02/2024;MI;EBLCVD3;C;0,6;400,00;O;
1;10/02/2024;MI;EBLVD36;C;0,6;400,00;O;
1;10/02/2024;MI;AMRE030;C;3,4;400,00;O;
1;10/02/2024;MI;COGVD12;C;4,6;400,00;O;
