OMIE - Mercado de electricidad;Fecha Emisión :13/02/2024 - 06:43;;13/02/2024;M.Intradiario para el día, sesión - Nº 6;;;;

Hora;Fecha;Pais;Unidad;Tipo Oferta;Energía Compra/Venta;Precio Compra/Venta;Ofertada (O)/Casada (C);
13;13/02/2024;MI;WMVD186;C;0,2;1.002,00;O;
13;13/02/2024;MI;LMA1;C;0,1;1.002,00;O;
13;13/02/2024;MI;SOL2;C;0,1;1.002,00;O;
13;13/02/2024;MI;WMVD145;C;0,3;1.002,00;O;
13;13/02/2024;MI;WMVD150;C;0,3;1.002,00;O;
13;13/02/2024;MI;WMVD090;C;0,5;1.002,00;O;
13;13/02/2024;MI;PEURE01;C;0,3;701,00;O;
13;13/02/2024;MI;NXVD227;C;0,2;700,00;O;
13;13/02/2024;MI;NXVD223;C;1,2;700,00;O;
13;13/02/2024;MI;NXVD222;C;1,5;700,00;O;
13;13/02/2024;MI;NEXVD88;C;0,3;700,00;O;
13;13/02/2024;MI;NXVD211;C;0,2;700,00;O;
13;13/02/2024;MI;NXVD180;C;1,5;700,00;O;
13;13/02/2024;MI;NXVD171;C;0,1;700,00;O;
13;13/02/2024;MI;NXVD166;C;0,5;700,00;O;
13;13/02/2024;MI;NXVD152;C;0,8;700,00;O;
13;13/02/2024;MI;NXVD126;C;0,3;700,00;O;
13;13/02/2024;MI;NXVD243;C;0,8;700,00;O;
13;13/02/2024;MI;NXVD228;C;0,3;700,00;O;
13;13/02/2024;MI;NXVD209;C;0,6;700,00;O;
13;13/02/2024;MI;ADURC01;C;0,7;650,00;O;
13;13/02/2024;MI;EBRA;C;0,8;577,77;O;
13;13/02/2024;MI;EGLEV2;C;5,1;500,00;O;
13;13/02/2024;MI;EGVD380;C;2,1;500,00;O;
13;13/02/2024;MI;EGVD394;C;0,1;500,00;O;
13;13/02/2024;MI;EGVD156;C;0,1;500,00;O;
13;13/02/2024;MI;EGVD068;C;0,2;500,00;O;
13;13/02/2024;MI;EGVD258;C;0,1;500,00;O;
13;13/02/2024;MI;EGVD227;C;0,1;500,00;O;
13;13/02/2024;MI;EGVD366;C;0,2;500,00;O;
13;13/02/2024;MI;EGVD408;C;0,1;500,00;O;
13;13/02/2024;MI;EGVD058;C;0,1;500,00;O;
13;13/02/2024;MI;EGVD098;C;0,3;500,00;O;
13;13/02/2024;MI;EGVD464;C;0,1;500,00;O;
13;13/02/2024;MI;EGVD445;C;0,2;500,00;O;
13;13/02/2024;MI;EGVD434;C;1,0;500,00;O;
13;13/02/2024;MI;EGVD077;C;2,5;500,00;O;
13;13/02/2024;MI;EGVD210;C;0,1;500,00;O;
13;13/02/2024;MI;EGVD096;C;1,5;500,00;O;
13;13/02/2024;MI;EGVD064;C;0,4;500,00;O;
13;13/02/2024;MI;EGVD085;C;0,3;500,00;O;
13;13/02/2024;MI;EGVD452;C;2,5;500,00;O;
13;13/02/2024;MI;EGVD293;C;2,3;500,00;O;
13;13/02/2024;MI;EGVD291;C;0,9;500,00;O;
13;13/02/2024;MI;EGVD292;C;3,6;500,00;O;
13;13/02/2024;MI;EGVD092;C;0,1;500,00;O;
13;13/02/2024;MI;EGVD357;C;0,8;500,00;O;
13;13/02/2024;MI;EGVD479;C;0,2;500,00;O;
13;13/02/2024;MI;EGVD165;C;0,1;500,00;O;
13;13/02/2024;MI;EGVD161;C;0,3;500,00;O;
13;13/02/2024;MI;EDRE018;C;0,4;451,00;O;
13;13/02/2024;MI;EDRE019;C;0,6;451,00;O;
13;13/02/2024;MI;EDRE020;C;0,9;451,00;O;
13;13/02/2024;MI;EDRE014;C;1,0;451,00;O;
13;13/02/2024;MI;EDRE022;C;0,3;451,00;O;
13;13/02/2024;MI;EGEDRE5;C;4,6;451,00;O;
13;13/02/2024;MI;EDRE027;C;0,1;451,00;O;
13;13/02/2024;MI;EGEDRE9;C;1,6;451,00;O;
13;13/02/2024;MI;EGEDRE1;C;12,4;451,00;O;
13;13/02/2024;MI;EGEDRE3;C;3,5;451,00;O;
13;13/02/2024;MI;EDRE021;C;0,8;451,00;O;
13;13/02/2024;MI;EGEDVD6;C;0,7;451,00;O;
13;13/02/2024;MI;EGEDRE1;C;5,0;450,00;O;
13;13/02/2024;MI;EBLCVD4;C;0,1;400,00;O;
13;13/02/2024;MI;EBLCVD4;C;0,3;400,00;O;
13;13/02/2024;MI;EBLCVD3;C;0,5;400,00;O;
13;13/02/2024;MI;EBLVD13;C;0,8;400,00;O;
13;13/02/2024;MI;EBLVD17;C;0,3;400,00;O;
13;13/02/2024;MI;EBLVD21;C;0,2;400,00;O;
13;13/02/2024;MI;EBLVD22;C;0,5;400,00;O;
13;13/02/2024;MI;EBLVD23;C;1,0;400,00;O;
13;13/02/2024;MI;EBLCVD1;C;0,2;400,00;O;
13;13/02/2024;MI;GSLRE07;C;0,2;400,00;O;
13;13/02/2024;MI;TLCMC01;C;0,2;400,00;O;
13;13/02/2024;MI;TLCRC01;C;7,9;400,00;O;
13;13/02/2024;MI;WMVD193;C;2,1;400,00;O;
13;13/02/2024;MI;EBLVD42;C;0,2;400,00;O;
13;13/02/2024;MI;EBLVD42;C;0,2;400,00;O;
13;13/02/2024;MI;EBLVD55;C;0,6;400,00;O;
13;13/02/2024;MI;EBLVD46;C;0,4;400,00;O;
13;13/02/2024;MI;EBLVD65;C;0,3;400,00;O;
13;13/02/2024;MI;EBLVD31;C;0,5;400,00;O;
13;13/02/2024;MI;AMRE033;C;0,4;400,00;O;
13;13/02/2024;MI;FENVD05;C;0,3;400,00;O;
13;13/02/2024;MI;EBLCVD1;C;0,2;400,00;O;
13;13/02/2024;MI;EBLVD51;C;0,6;400,00;O;
13;13/02/2024;MI;EBLVD43;C;0,1;400,00;O;
13;13/02/2024;MI;EBLVD44;C;0,2;400,00;O;
13;13/02/2024;MI;EBLVD57;C;0,1;400,00;O;
13;13/02/2024;MI;EBLVD47;C;0,2;400,00;O;
13;13/02/2024;MI;EBLVD30;C;0,1;400,00;O;
