OMIE - Mercado de electricidad;Fecha Emisión :16/02/2024 - 18:46;;17/02/2024;M.Intradiario para el día, sesión - Nº 2;;;;

Hora;Fecha;Pais;Unidad;Tipo Oferta;Energía Compra/Venta;Precio Compra/Venta;Ofertada (O)/Casada (C);
1;17/02/2024;MI;BPC01;C;0,1;1.002,00;O;
1;17/02/2024;MI;BPRE03;C;0,7;1.002,00;O;
1;17/02/2024;MI;BPRE04;C;0,7;1.002,00;O;
1;17/02/2024;MI;WMVD204;C;0,4;1.002,00;O;
1;17/02/2024;MI;WMVD186;C;0,1;1.002,00;O;
1;17/02/2024;MI;LMA1;C;0,2;1.002,00;O;
1;17/02/2024;MI;SOL2;C;0,1;1.002,00;O;
1;17/02/2024;MI;WMJUCA;C;0,4;1.002,00;O;
1;17/02/2024;MI;WMVD184;C;0,4;1.002,00;O;
1;17/02/2024;MI;WMVD090;C;1,5;1.002,00;O;
1;17/02/2024;MI;NXVD315;C;0,1;700,00;O;
1;17/02/2024;MI;NXVD316;C;0,3;700,00;O;
1;17/02/2024;MI;NXVD313;C;0,1;700,00;O;
1;17/02/2024;MI;NXVD311;C;0,1;700,00;O;
1;17/02/2024;MI;NXVD312;C;0,1;700,00;O;
1;17/02/2024;MI;NXVD267;C;1,7;700,00;O;
1;17/02/2024;MI;NXVD237;C;0,1;700,00;O;
1;17/02/2024;MI;NXVD236;C;0,1;700,00;O;
1;17/02/2024;MI;NXVD234;C;0,1;700,00;O;
1;17/02/2024;MI;NXVD232;C;0,1;700,00;O;
1;17/02/2024;MI;NXVD233;C;0,2;700,00;O;
1;17/02/2024;MI;NXVD230;C;0,1;700,00;O;
1;17/02/2024;MI;NXVD227;C;0,2;700,00;O;
1;17/02/2024;MI;NXVD228;C;0,3;700,00;O;
1;17/02/2024;MI;NXVD229;C;0,2;700,00;O;
1;17/02/2024;MI;NXVD226;C;0,1;700,00;O;
1;17/02/2024;MI;NXVD168;C;0,6;700,00;O;
1;17/02/2024;MI;NXVD169;C;0,3;700,00;O;
1;17/02/2024;MI;NXVD166;C;0,3;700,00;O;
1;17/02/2024;MI;NXVD152;C;0,3;700,00;O;
1;17/02/2024;MI;NXVD126;C;1,1;700,00;O;
1;17/02/2024;MI;NXVD108;C;0,4;700,00;O;
1;17/02/2024;MI;LUZBV02;C;0,4;700,00;O;
1;17/02/2024;MI;EGVD471;C;0,2;500,00;O;
1;17/02/2024;MI;EGVD085;C;1,0;500,00;O;
1;17/02/2024;MI;EGVD074;C;0,4;500,00;O;
1;17/02/2024;MI;EGVD273;C;0,2;500,00;O;
1;17/02/2024;MI;EGVD246;C;2,3;500,00;O;
1;17/02/2024;MI;EGLEV2;C;0,6;500,00;O;
1;17/02/2024;MI;EGVD051;C;0,3;500,00;O;
1;17/02/2024;MI;EGVD056;C;0,7;500,00;O;
1;17/02/2024;MI;EGVD264;C;0,2;500,00;O;
1;17/02/2024;MI;EGVD379;C;0,3;500,00;O;
1;17/02/2024;MI;EGVD408;C;0,1;500,00;O;
1;17/02/2024;MI;EGVD052;C;0,2;500,00;O;
1;17/02/2024;MI;EGVD095;C;0,1;500,00;O;
1;17/02/2024;MI;EGVD096;C;0,3;500,00;O;
1;17/02/2024;MI;EGVD077;C;1,5;500,00;O;
1;17/02/2024;MI;EGVD060;C;0,1;500,00;O;
1;17/02/2024;MI;EGVD248;C;0,1;500,00;O;
1;17/02/2024;MI;EGVD226;C;0,1;500,00;O;
1;17/02/2024;MI;EGVD058;C;0,2;500,00;O;
1;17/02/2024;MI;GNCOC01;C;7,8;500,00;O;
1;17/02/2024;MI;GNSUC01;C;3,4;500,00;O;
1;17/02/2024;MI;GNSEC01;C;0,8;500,00;O;
1;17/02/2024;MI;EGVD152;C;0,1;500,00;O;
1;17/02/2024;MI;EGVD454;C;0,4;500,00;O;
1;17/02/2024;MI;EGVD121;C;7,5;500,00;O;
1;17/02/2024;MI;EDRE015;C;0,1;451,00;O;
1;17/02/2024;MI;EDRE017;C;0,6;451,00;O;
1;17/02/2024;MI;EGEDRE5;C;2,7;451,00;O;
1;17/02/2024;MI;EGEDRE2;C;0,4;451,00;O;
1;17/02/2024;MI;EGEDRE3;C;2,1;451,00;O;
1;17/02/2024;MI;EDRE021;C;0,9;451,00;O;
1;17/02/2024;MI;EDRE022;C;0,4;451,00;O;
1;17/02/2024;MI;EDRE027;C;0,3;451,00;O;
1;17/02/2024;MI;EDRE013;C;0,5;451,00;O;
1;17/02/2024;MI;EDRE018;C;0,3;451,00;O;
1;17/02/2024;MI;EDRE019;C;0,7;451,00;O;
1;17/02/2024;MI;EDRE020;C;0,2;451,00;O;
1;17/02/2024;MI;EDRE014;C;0,2;451,00;O;
1;17/02/2024;MI;EDRE016;C;0,7;451,00;O;
1;17/02/2024;MI;EDRE012;C;0,2;451,00;O;
1;17/02/2024;MI;EGEDVD4;C;0,4;451,00;O;
1;17/02/2024;MI;TLCRC01;C;12,4;400,00;O;
1;17/02/2024;MI;AMRE038;C;0,1;400,00;O;
1;17/02/2024;MI;AMRE011;C;0,3;400,00;O;
1;17/02/2024;MI;EFGVD11;C;0,1;400,00;O;
1;17/02/2024;MI;CEVD399;C;0,2;350,00;O;
1;17/02/2024;MI;CEVD392;C;0,6;350,00;O;
1;17/02/2024;MI;CEVD383;C;0,1;350,00;O;
1;17/02/2024;MI;CEVD379;C;0,1;350,00;O;
1;17/02/2024;MI;CEVD380;C;0,1;350,00;O;
1;17/02/2024;MI;CEVD376;C;0,1;350,00;O;
1;17/02/2024;MI;CEVD331;C;0,8;350,00;O;
1;17/02/2024;MI;CEVD287;C;0,3;350,00;O;
1;17/02/2024;MI;CEVD284;C;0,6;350,00;O;
1;17/02/2024;MI;WMVD193;C;3,0;300,00;O;
1;17/02/2024;MI;WMVD088;C;3,5;300,00;O;
1;17/02/2024;MI;GALVD28;C;0,1;300,00;O;
1;17/02/2024;MI;REPPC02;C;2,1;300,00;O;
1;17/02/2024;MI;FUTVD10;C;1,9;250,02;O;
