OMIE - Mercado de electricidad;Fecha Emisión :15/02/2024 - 09:58;;15/02/2024;M.Intradiario para el día, sesión - Nº 6;;;;

Hora;Fecha;Pais;Unidad;Tipo Oferta;Energía Compra/Venta;Precio Compra/Venta;Ofertada (O)/Casada (C);
13;15/02/2024;MI;WMVD189;C;1,1;1.002,00;O;
13;15/02/2024;MI;WMVD177;C;0,4;1.002,00;O;
13;15/02/2024;MI;WMVD184;C;0,1;1.002,00;O;
13;15/02/2024;MI;WMVD155;C;2,8;1.002,00;O;
13;15/02/2024;MI;WMVD147;C;0,2;1.002,00;O;
13;15/02/2024;MI;WMVD101;C;0,4;1.002,00;O;
13;15/02/2024;MI;WMVD090;C;0,6;1.002,00;O;
13;15/02/2024;MI;BPC01;C;0,1;1.002,00;O;
13;15/02/2024;MI;NXVD134;C;0,5;700,00;O;
13;15/02/2024;MI;NXVD129;C;0,6;700,00;O;
13;15/02/2024;MI;NXVD130;C;0,6;700,00;O;
13;15/02/2024;MI;NXVD127;C;0,7;700,00;O;
13;15/02/2024;MI;NXVD118;C;0,7;700,00;O;
13;15/02/2024;MI;NXVD120;C;0,7;700,00;O;
13;15/02/2024;MI;NXVD113;C;0,7;700,00;O;
13;15/02/2024;MI;NXVD108;C;0,1;700,00;O;
13;15/02/2024;MI;NEXVD67;C;0,1;700,00;O;
13;15/02/2024;MI;NEXVD70;C;0,2;700,00;O;
13;15/02/2024;MI;NEXVD63;C;0,1;700,00;O;
13;15/02/2024;MI;NEXVD64;C;0,1;700,00;O;
13;15/02/2024;MI;NEXVD59;C;0,1;700,00;O;
13;15/02/2024;MI;NEXVD53;C;0,2;700,00;O;
13;15/02/2024;MI;NXVD341;C;0,6;700,00;O;
13;15/02/2024;MI;NXVD338;C;0,1;700,00;O;
13;15/02/2024;MI;NXVD339;C;0,1;700,00;O;
13;15/02/2024;MI;NXVD340;C;0,1;700,00;O;
13;15/02/2024;MI;NXVD327;C;0,1;700,00;O;
13;15/02/2024;MI;NXVD328;C;0,1;700,00;O;
13;15/02/2024;MI;NXVD325;C;0,3;700,00;O;
13;15/02/2024;MI;NXVD326;C;0,3;700,00;O;
13;15/02/2024;MI;NXVD317;C;0,1;700,00;O;
13;15/02/2024;MI;NXVD318;C;0,2;700,00;O;
13;15/02/2024;MI;NXVD319;C;0,1;700,00;O;
13;15/02/2024;MI;NXVD316;C;0,4;700,00;O;
13;15/02/2024;MI;NXVD315;C;0,2;700,00;O;
13;15/02/2024;MI;NXVD312;C;0,3;700,00;O;
13;15/02/2024;MI;NXVD218;C;0,1;700,00;O;
13;15/02/2024;MI;NXVD214;C;0,1;700,00;O;
13;15/02/2024;MI;NXVD215;C;0,1;700,00;O;
13;15/02/2024;MI;NXVD216;C;0,1;700,00;O;
13;15/02/2024;MI;NXVD212;C;0,2;700,00;O;
13;15/02/2024;MI;NXVD213;C;0,2;700,00;O;
13;15/02/2024;MI;NEXVD57;C;0,1;700,00;O;
13;15/02/2024;MI;NEXVD46;C;0,8;700,00;O;
13;15/02/2024;MI;NEXVD47;C;3,0;700,00;O;
13;15/02/2024;MI;NEXVD21;C;0,2;700,00;O;
13;15/02/2024;MI;NEXVD45;C;0,2;700,00;O;
13;15/02/2024;MI;NEXVD03;C;12,2;700,00;O;
13;15/02/2024;MI;NXVD210;C;2,0;700,00;O;
13;15/02/2024;MI;NXVD203;C;0,1;700,00;O;
13;15/02/2024;MI;NXVD205;C;0,1;700,00;O;
13;15/02/2024;MI;NXVD206;C;0,3;700,00;O;
13;15/02/2024;MI;NXVD199;C;0,2;700,00;O;
13;15/02/2024;MI;NXVD200;C;0,1;700,00;O;
13;15/02/2024;MI;NXVD201;C;0,8;700,00;O;
13;15/02/2024;MI;NXVD196;C;0,1;700,00;O;
13;15/02/2024;MI;NXVD197;C;0,1;700,00;O;
13;15/02/2024;MI;NXVD198;C;0,1;700,00;O;
13;15/02/2024;MI;NXVD193;C;0,1;700,00;O;
13;15/02/2024;MI;NXVD194;C;0,1;700,00;O;
13;15/02/2024;MI;NXVD195;C;0,2;700,00;O;
13;15/02/2024;MI;NXVD188;C;0,2;700,00;O;
13;15/02/2024;MI;NXVD189;C;0,1;700,00;O;
13;15/02/2024;MI;NXVD190;C;0,3;700,00;O;
13;15/02/2024;MI;NXVD105;C;0,2;700,00;O;
13;15/02/2024;MI;NEXVD91;C;0,3;700,00;O;
13;15/02/2024;MI;NXVD101;C;0,1;700,00;O;
13;15/02/2024;MI;NEXVD71;C;0,2;700,00;O;
13;15/02/2024;MI;NEXVD72;C;0,2;700,00;O;
13;15/02/2024;MI;NEXVD65;C;0,1;700,00;O;
13;15/02/2024;MI;NXVD313;C;0,7;700,00;O;
13;15/02/2024;MI;NXVD311;C;0,2;700,00;O;
13;15/02/2024;MI;NXVD309;C;0,1;700,00;O;
13;15/02/2024;MI;NXVD310;C;0,3;700,00;O;
13;15/02/2024;MI;NXVD306;C;0,1;700,00;O;
13;15/02/2024;MI;NXVD308;C;0,2;700,00;O;
13;15/02/2024;MI;NXVD300;C;0,4;700,00;O;
13;15/02/2024;MI;NXVD297;C;0,3;700,00;O;
13;15/02/2024;MI;NXVD298;C;0,2;700,00;O;
13;15/02/2024;MI;NXVD299;C;0,3;700,00;O;
13;15/02/2024;MI;NXVD294;C;1,0;700,00;O;
13;15/02/2024;MI;NXVD295;C;0,6;700,00;O;
13;15/02/2024;MI;NXVD296;C;1,0;700,00;O;
13;15/02/2024;MI;NXVD286;C;0,3;700,00;O;
13;15/02/2024;MI;NXVD291;C;0,4;700,00;O;
13;15/02/2024;MI;NXVD292;C;0,1;700,00;O;
13;15/02/2024;MI;NXVD285;C;0,3;700,00;O;
13;15/02/2024;MI;NXVD278;C;0,1;700,00;O;
13;15/02/2024;MI;NXVD258;C;0,1;700,00;O;
13;15/02/2024;MI;NXVD260;C;0,2;700,00;O;
13;15/02/2024;MI;NXVD243;C;0,2;700,00;O;
13;15/02/2024;MI;NXVD254;C;1,0;700,00;O;
