OMIE - Mercado de electricidad;Fecha Emisión :09/02/2024 - 09:57;;09/02/2024;M.Intradiario para el día, sesión - Nº 6;;;;

Hora;Fecha;Pais;Unidad;Tipo Oferta;Energía Compra/Venta;Precio Compra/Venta;Ofertada (O)/Casada (C);
13;09/02/2024;MI;WMVD189;C;1,0;1.002,00;O;
13;09/02/2024;MI;WMVD177;C;0,1;1.002,00;O;
13;09/02/2024;MI;WMVD184;C;3,1;1.002,00;O;
13;09/02/2024;MI;SOL2;C;0,1;1.002,00;O;
13;09/02/2024;MI;WMVD204;C;1,1;1.002,00;O;
13;09/02/2024;MI;WMVD124;C;0,3;1.002,00;O;
13;09/02/2024;MI;WMVD136;C;0,1;1.002,00;O;
13;09/02/2024;MI;WMVD090;C;3,0;1.002,00;O;
13;09/02/2024;MI;WMARVD1;C;0,5;1.002,00;O;
13;09/02/2024;MI;WMEBRO;C;0,1;1.002,00;O;
13;09/02/2024;MI;NXVD316;C;1,8;700,00;O;
13;09/02/2024;MI;NEXVD46;C;0,2;700,00;O;
13;09/02/2024;MI;NXVD243;C;0,2;700,00;O;
13;09/02/2024;MI;NXVD238;C;1,6;700,00;O;
13;09/02/2024;MI;NXVD227;C;0,8;700,00;O;
13;09/02/2024;MI;NXVD228;C;0,5;700,00;O;
13;09/02/2024;MI;NXVD226;C;0,5;700,00;O;
13;09/02/2024;MI;NXVD219;C;2,1;700,00;O;
13;09/02/2024;MI;NXVD209;C;0,3;700,00;O;
13;09/02/2024;MI;NXVD210;C;3,4;700,00;O;
13;09/02/2024;MI;NXVD201;C;1,6;700,00;O;
13;09/02/2024;MI;NXVD174;C;0,6;700,00;O;
13;09/02/2024;MI;NXVD175;C;0,3;700,00;O;
13;09/02/2024;MI;NXVD172;C;1,0;700,00;O;
13;09/02/2024;MI;NXVD173;C;0,7;700,00;O;
13;09/02/2024;MI;NXVD169;C;4,3;700,00;O;
13;09/02/2024;MI;NXVD171;C;1,4;700,00;O;
13;09/02/2024;MI;NXVD167;C;1,8;700,00;O;
13;09/02/2024;MI;NXVD168;C;5,8;700,00;O;
13;09/02/2024;MI;NXVD166;C;2,0;700,00;O;
13;09/02/2024;MI;NXVD163;C;0,5;700,00;O;
13;09/02/2024;MI;NXVD162;C;0,3;700,00;O;
13;09/02/2024;MI;NXVD152;C;0,4;700,00;O;
13;09/02/2024;MI;NXVD126;C;0,5;700,00;O;
13;09/02/2024;MI;NXVD114;C;1,5;700,00;O;
13;09/02/2024;MI;NXVD117;C;1,3;700,00;O;
13;09/02/2024;MI;NEXVD85;C;0,2;700,00;O;
13;09/02/2024;MI;NXVD308;C;0,4;700,00;O;
13;09/02/2024;MI;ADURC01;C;0,7;650,00;O;
13;09/02/2024;MI;EGVD212;C;1,5;500,00;O;
13;09/02/2024;MI;EGVD410;C;0,5;500,00;O;
13;09/02/2024;MI;EGVD115;C;0,8;500,00;O;
13;09/02/2024;MI;EGVD114;C;0,7;500,00;O;
13;09/02/2024;MI;EGVD258;C;0,1;500,00;O;
13;09/02/2024;MI;EGVD051;C;3,6;500,00;O;
13;09/02/2024;MI;EGVD052;C;2,2;500,00;O;
13;09/02/2024;MI;EGVD092;C;1,2;500,00;O;
13;09/02/2024;MI;EGVD058;C;1,7;500,00;O;
13;09/02/2024;MI;EGVD060;C;0,1;500,00;O;
13;09/02/2024;MI;EGVD183;C;0,1;500,00;O;
13;09/02/2024;MI;EGVD255;C;0,1;500,00;O;
13;09/02/2024;MI;EGVD156;C;0,5;500,00;O;
13;09/02/2024;MI;EGVD379;C;0,8;500,00;O;
13;09/02/2024;MI;EGVD445;C;0,3;500,00;O;
13;09/02/2024;MI;EGVD450;C;1,0;500,00;O;
13;09/02/2024;MI;EGVD470;C;0,8;500,00;O;
13;09/02/2024;MI;EGVD449;C;0,9;500,00;O;
13;09/02/2024;MI;EGVD055;C;0,3;500,00;O;
13;09/02/2024;MI;EGVD381;C;0,9;500,00;O;
13;09/02/2024;MI;EGVD064;C;3,1;500,00;O;
13;09/02/2024;MI;EGVD068;C;0,3;500,00;O;
13;09/02/2024;MI;EGVD219;C;0,1;500,00;O;
13;09/02/2024;MI;EGVD248;C;0,1;500,00;O;
13;09/02/2024;MI;EGVD056;C;2,0;500,00;O;
13;09/02/2024;MI;EGVD065;C;1,9;500,00;O;
13;09/02/2024;MI;EGVD077;C;5,3;500,00;O;
13;09/02/2024;MI;EGVD098;C;0,2;500,00;O;
13;09/02/2024;MI;EGVD095;C;0,6;500,00;O;
13;09/02/2024;MI;EGVD366;C;0,1;500,00;O;
13;09/02/2024;MI;EGVD408;C;0,2;500,00;O;
13;09/02/2024;MI;EGVD074;C;0,6;500,00;O;
13;09/02/2024;MI;EGVD083;C;1,3;500,00;O;
13;09/02/2024;MI;EGVD085;C;2,2;500,00;O;
13;09/02/2024;MI;EGVD265;C;0,4;500,00;O;
13;09/02/2024;MI;EGVD264;C;0,6;500,00;O;
13;09/02/2024;MI;EGVD478;C;0,1;500,00;O;
13;09/02/2024;MI;EGVD210;C;0,2;500,00;O;
13;09/02/2024;MI;EGVD227;C;0,1;500,00;O;
13;09/02/2024;MI;EGVD011;C;2,0;500,00;O;
13;09/02/2024;MI;EGVD448;C;1,2;500,00;O;
13;09/02/2024;MI;EGVD418;C;0,1;500,00;O;
13;09/02/2024;MI;EGVD434;C;1,0;500,00;O;
13;09/02/2024;MI;EGVD451;C;0,9;500,00;O;
13;09/02/2024;MI;EGVD479;C;0,1;500,00;O;
13;09/02/2024;MI;EGVD096;C;0,6;500,00;O;
13;09/02/2024;MI;EGVD291;C;0,3;500,00;O;
13;09/02/2024;MI;EGVD257;C;0,3;500,00;O;
13;09/02/2024;MI;EGVD292;C;2,7;500,00;O;
13;09/02/2024;MI;EGVD467;C;34,2;500,00;O;
13;09/02/2024;MI;EGLEVD1;C;0,1;500,00;O;
13;09/02/2024;MI;GNCOC01;C;8,8;500,00;O;
13;09/02/2024;MI;EGVD165;C;0,5;500,00;O;
