OMIE - Mercado de electricidad;Fecha Emisión :08/02/2024 - 18:01;;09/02/2024;M.Intradiario para el día, sesión - Nº 2;;;;

Hora;Fecha;Pais;Unidad;Tipo Oferta;Energía Compra/Venta;Precio Compra/Venta;Ofertada (O)/Casada (C);
1;09/02/2024;MI;BPC01;C;0,1;1.002,00;O;
1;09/02/2024;MI;WMVD204;C;0,3;1.002,00;O;
1;09/02/2024;MI;WMVD090;C;1,3;1.002,00;O;
1;09/02/2024;MI;WMVD101;C;1,4;1.002,00;O;
1;09/02/2024;MI;NXVD219;C;0,4;700,00;O;
1;09/02/2024;MI;NXVD209;C;8,0;700,00;O;
1;09/02/2024;MI;NXVD208;C;14,3;700,00;O;
1;09/02/2024;MI;NXVD170;C;0,7;700,00;O;
1;09/02/2024;MI;NXVD166;C;0,3;700,00;O;
1;09/02/2024;MI;NXVD163;C;0,4;700,00;O;
1;09/02/2024;MI;NXVD152;C;0,4;700,00;O;
1;09/02/2024;MI;NXVD147;C;23,5;700,00;O;
1;09/02/2024;MI;NXVD126;C;0,9;700,00;O;
1;09/02/2024;MI;NXVD114;C;0,2;700,00;O;
1;09/02/2024;MI;NEXVD46;C;0,5;700,00;O;
1;09/02/2024;MI;NEXVD40;C;0,1;700,00;O;
1;09/02/2024;MI;NEXVD05;C;0,2;700,00;O;
1;09/02/2024;MI;NXVD310;C;0,8;700,00;O;
1;09/02/2024;MI;NXVD312;C;1,0;700,00;O;
1;09/02/2024;MI;NXVD313;C;0,7;700,00;O;
1;09/02/2024;MI;NXVD314;C;0,3;700,00;O;
1;09/02/2024;MI;NXVD311;C;0,1;700,00;O;
1;09/02/2024;MI;NXVD316;C;0,1;700,00;O;
1;09/02/2024;MI;NXVD315;C;0,4;700,00;O;
1;09/02/2024;MI;NEXVD36;C;1,3;700,00;O;
1;09/02/2024;MI;EGVD077;C;0,4;500,00;O;
1;09/02/2024;MI;EGVD291;C;0,8;500,00;O;
1;09/02/2024;MI;EGVD224;C;0,2;500,00;O;
1;09/02/2024;MI;EGVD223;C;0,3;500,00;O;
1;09/02/2024;MI;EGVD381;C;0,1;500,00;O;
1;09/02/2024;MI;EGVD055;C;0,6;500,00;O;
1;09/02/2024;MI;EGVD064;C;0,3;500,00;O;
1;09/02/2024;MI;EGVD068;C;0,2;500,00;O;
1;09/02/2024;MI;EGVD156;C;0,1;500,00;O;
1;09/02/2024;MI;EGVD454;C;1,3;500,00;O;
1;09/02/2024;MI;EGVD471;C;0,5;500,00;O;
1;09/02/2024;MI;EGVD096;C;0,6;500,00;O;
1;09/02/2024;MI;EGVD265;C;0,1;500,00;O;
1;09/02/2024;MI;EGVD098;C;0,3;500,00;O;
1;09/02/2024;MI;EGVD114;C;0,1;500,00;O;
1;09/02/2024;MI;EGVD051;C;0,1;500,00;O;
1;09/02/2024;MI;EGVD404;C;6,8;500,00;O;
1;09/02/2024;MI;EGLEVD1;C;0,2;500,00;O;
1;09/02/2024;MI;EDPCR01;C;11,5;500,00;O;
1;09/02/2024;MI;GNSEC01;C;13,5;500,00;O;
1;09/02/2024;MI;GNSUC01;C;16,0;500,00;O;
1;09/02/2024;MI;GNCOC01;C;19,5;500,00;O;
1;09/02/2024;MI;EGVD379;C;3,9;500,00;O;
1;09/02/2024;MI;EGVD076;C;0,4;500,00;O;
1;09/02/2024;MI;EGVD359;C;1,1;500,00;O;
1;09/02/2024;MI;HCGC01;C;4,6;500,00;O;
1;09/02/2024;MI;EGVD408;C;0,4;500,00;O;
1;09/02/2024;MI;EGVD115;C;0,2;500,00;O;
1;09/02/2024;MI;EGVD292;C;2,3;500,00;O;
1;09/02/2024;MI;EGVD083;C;0,4;500,00;O;
1;09/02/2024;MI;EGEDVD3;C;3,0;451,00;O;
1;09/02/2024;MI;EDRE029;C;0,2;451,00;O;
1;09/02/2024;MI;EDRE019;C;0,7;451,00;O;
1;09/02/2024;MI;EDRE021;C;0,3;451,00;O;
1;09/02/2024;MI;EDRE018;C;0,1;451,00;O;
1;09/02/2024;MI;EDRE013;C;0,1;451,00;O;
1;09/02/2024;MI;EDRE014;C;0,2;451,00;O;
1;09/02/2024;MI;EBLVD62;C;0,6;400,00;O;
1;09/02/2024;MI;EBLCVD1;C;0,2;400,00;O;
1;09/02/2024;MI;EBLVD23;C;0,1;400,00;O;
1;09/02/2024;MI;EBLVD17;C;0,2;400,00;O;
1;09/02/2024;MI;EBLVD15;C;0,2;400,00;O;
1;09/02/2024;MI;EBLVD16;C;0,2;400,00;O;
1;09/02/2024;MI;EBLCVD7;C;0,1;400,00;O;
1;09/02/2024;MI;EBLVD12;C;0,8;400,00;O;
1;09/02/2024;MI;EBLCVD4;C;0,5;400,00;O;
1;09/02/2024;MI;EBLCVD3;C;0,8;400,00;O;
1;09/02/2024;MI;EBLCVD4;C;0,3;400,00;O;
1;09/02/2024;MI;EBLCVD1;C;0,3;400,00;O;
1;09/02/2024;MI;EBLCVD1;C;2,1;400,00;O;
1;09/02/2024;MI;EBLVD58;C;0,1;400,00;O;
1;09/02/2024;MI;EBLCVD1;C;0,2;400,00;O;
1;09/02/2024;MI;EBLVD54;C;0,2;400,00;O;
1;09/02/2024;MI;EBLVD52;C;0,7;400,00;O;
1;09/02/2024;MI;EBLVD58;C;0,1;400,00;O;
1;09/02/2024;MI;EBLVD47;C;0,1;400,00;O;
1;09/02/2024;MI;EBLVD48;C;0,5;400,00;O;
1;09/02/2024;MI;EBLVD33;C;3,3;400,00;O;
1;09/02/2024;MI;EBLVD40;C;0,2;400,00;O;
1;09/02/2024;MI;EBLVD56;C;0,9;400,00;O;
1;09/02/2024;MI;EBLVD59;C;0,3;400,00;O;
1;09/02/2024;MI;TLCMC01;C;2,2;400,00;O;
1;09/02/2024;MI;TLCRC01;C;11,0;400,00;O;
1;09/02/2024;MI;EBLVD33;C;2,4;400,00;O;
1;09/02/2024;MI;EBLVD25;C;0,4;400,00;O;
1;09/02/2024;MI;CEVD378;C;0,7;350,00;O;
