Title,Generation structure by technology_01-04-2024_30-06-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electricity system,National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnitude,GWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fecha,01/04/2024,02/04/2024,03/04/2024,04/04/2024,05/04/2024,06/04/2024,07/04/2024,08/04/2024,09/04/2024,10/04/2024,11/04/2024,12/04/2024,13/04/2024,14/04/2024,15/04/2024,16/04/2024,17/04/2024,18/04/2024,19/04/2024,20/04/2024,21/04/2024,22/04/2024,23/04/2024,24/04/2024,25/04/2024,26/04/2024,27/04/2024,28/04/2024,29/04/2024,30/04/2024,01/05/2024,02/05/2024,03/05/2024,04/05/2024,05/05/2024,06/05/2024,07/05/2024,08/05/2024,09/05/2024,10/05/2024,11/05/2024,12/05/2024,13/05/2024,14/05/2024,15/05/2024,16/05/2024,17/05/2024,18/05/2024,19/05/2024,20/05/2024,21/05/2024,22/05/2024,23/05/2024,24/05/2024,25/05/2024,26/05/2024,27/05/2024,28/05/2024,29/05/2024,30/05/2024,31/05/2024,01/06/2024,02/06/2024,03/06/2024,04/06/2024,05/06/2024,06/06/2024,07/06/2024,08/06/2024,09/06/2024,10/06/2024,11/06/2024,12/06/2024,13/06/2024,14/06/2024,15/06/2024,16/06/2024,17/06/2024,18/06/2024,19/06/2024,20/06/2024,21/06/2024,22/06/2024,23/06/2024,24/06/2024,25/06/2024,26/06/2024,27/06/2024,28/06/2024,29/06/2024,30/06/2024
Solar photovoltaic,"113,212722","103,328431","130,477607","136,606992","132,858014","69,591054","90,26385099999999","105,29533500000001","141,700935","139,102361","148,415462","155,81294599999998","134,657093","125,103209","141,563397","149,112573","147,683253","150,97645300000002","159,805872","141,956682","137,776364","145,126631","161,428975","183,243204","143,81650299999998","130,36708199999998","111,883713","137,939332","129,778528","130,65003","112,667626","165,11199100000002","181,671278","162,29662299999998","120,59931900000001","151,451233","182,844542","183,389199","173,63457","175,687436","144,607172","135,235199","162,586851","152,097468","168,536455","155,328995","147,37220499999998","176,736207","141,29284099999998","164,151277","165,23756899999998","181,926872","184,46997","201,28673999999998","183,00053599999998","148,825731","186,053318","185,576366","192,56007300000002","181,03839799999997","161,52178899999998","151,084189","154,540195","179,006359","192,544359","187,767057","166,34166399999998","136,104972","126,23238400000001","115,45399099999999","126,00590700000001","157,393271","155,360856","181,031073","189,116424","159,365351","149,205161","199,976395","145,691212","142,392935","156,25946299999998","203,71402600000002","177,058515","152,116098","193,71686","193,514861","155,911027","146,446531","124,268754","105,721224","155,230905"
Thermal solar,"7,914485","4,069032","10,117391","15,449978","13,343074","0,818902","6,010944","6,257605","19,9823","22,148419999999998","22,799469000000002","21,837208","23,225664000000002","17,602412","21,572388","22,323601","17,121447","17,614363","13,219008","8,779511000000001","17,151585999999998","21,450101999999998","24,019619","21,740689","14,981732","6,542585","6,468686","15,674723","15,08125","8,001268","8,389272","15,351023999999999","22,501514999999998","25,323443","9,869721","10,979961","21,916396","21,481617999999997","15,113888000000001","21,448580999999997","21,523092000000002","19,050904","18,822557","16,66205","17,184082999999998","13,440351","12,746777","22,301113","21,058555000000002","18,127888","17,179548999999998","23,373629","20,350648","23,12766","27,477548","21,552364","22,612706","22,928849","23,467257","23,59881","20,739877","22,772828","23,315097","20,077900000000003","22,178093","21,763315","11,602994","2,8350210000000002","3,685536","4,600288","6,062002000000001","15,52238","18,527423","23,903544999999998","24,991809","25,008748","26,063800999999998","24,447914","14,006497","8,359392","14,869073","24,901441","26,214677","24,692935000000002","23,439678","24,124993","11,278956","4,562145","3,709601","3,65495","13,384988"
Other renewables,"10,058698","10,013892","9,289579999999999","9,839903","9,711472","9,82933","9,224803","9,669272000000001","9,591026","9,384382","9,800467000000001","10,221115","10,242374","9,821738","8,468636","8,630811","9,000069","10,219717000000001","10,688977999999999","10,379518000000001","9,941846","9,944887000000001","10,312625","10,25098","10,955143","12,122116","11,513762","11,835382","11,419893","12,019616","9,943116","9,49916","9,318966","8,934192","9,019497","8,874317","9,345962","9,645165","9,307805","9,613161","9,871870000000001","9,576636","9,146068999999999","8,931268","9,470035","9,295795","10,06833","10,500613999999999","10,686664","10,302128","10,259509","10,584214","11,031317","11,863586999999999","11,412483","11,106808000000001","10,435120999999999","10,731743","11,392764999999999","10,943635","10,322282999999999","10,142149","9,435291","9,286318999999999","10,889543999999999","10,623303","11,226177","11,293168","11,038162","10,604422000000001","10,882273999999999","11,030607","10,860588","10,699054","11,017914000000001","11,185881","10,676261","10,90348","11,459923","10,923292","11,469311","11,908945","11,886959000000001","11,167513999999999","10,594558999999999","10,641572","10,664879999999998","11,680935","12,134354","12,151613","11,896147000000001"
Cogeneration,"26,66492300000001","29,74897900000001","31,841379","30,86378199999999","26,505946","25,124255","24,5708","25,307188","25,225254","25,762991000000003","28,579635999999997","33,196056","27,924431000000002","25,737574000000002","24,604709","23,411621999999998","24,820982","24,634595","27,96618200000001","24,755224","23,211733","24,354224","25,91751300000001","31,25644400000001","43,36754","46,15835799999999","39,664716","39,125912000000014","47,86778399999999","49,70349800000001","38,326065","41,83968900000002","44,604345","39,368742","39,022306","46,77058400000001","46,481072999999995","43,298708","45,07279500000001","45,012361","41,049408","39,18817399999999","39,193637","37,21430099999999","39,927188","44,021338","50,00100200000001","45,160269","41,999320000000004","44,43368600000001","46,50834900000001","46,44863700000001","48,42962600000002","49,67227600000001","44,38198099999999","41,664798999999995","43,570593","43,045061000000004","44,998042999999996","40,43526700000001","28,739221","26,020593000000012","26,230348999999997","37,41598200000001","51,172901999999986","53,542182","56,90465700000001","55,897932","53,412910000000004","39,83385599999999","49,50816499999999","53,861511000000014","53,40010600000001","53,310947000000006","47,84963999999998","38,208612","37,713826999999995","43,067758000000005","50,10056999999999","55,334095999999995","57,36508100000001","58,08959500000001","46,010180999999996","37,47376200000001","43,14911200000001","52,16800999999999","55,90752599999999","56,036624","57,108909","50,49697399999999","47,91152099999999"
Non-renewable waste,"2,845857","2,872284","2,779859","2,746301","2,6300125","2,740955","2,5822045","2,3312725","2,1129295000000003","2,026074","2,0811085","2,028225","2,1513665","2,3075414999999997","2,2696460000000003","2,2974769999999998","2,2672105","2,423285","2,3217675","2,291572","2,1618114999999998","2,285963","2,1984475000000003","1,9190924999999999","2,2361855","2,3847595","2,430678","2,650966","2,5909955","2,377107","2,0693560000000004","1,8326365","2,142898","2,1112325000000003","2,3504745","2,1832365","2,2746955","2,072972","2,366721","2,2973835","2,3394005","2,4096954999999998","2,1182220000000003","2,1556455","2,528346","2,7087044999999996","2,8454615","2,8617820000000003","2,785328","2,9353515000000003","3,2869145","3,2953015","3,4273925","3,495702","3,086463","2,9007695","2,7604925","2,9002515","2,9271435","2,6966509999999997","2,26559","2,530972","2,4582764999999998","2,4155295","2,7402705000000003","3,3525555","3,388119","3,6552395","4,099902","3,836868","3,73187","3,0969205","3,3537125","3,8515895","3,7103935000000003","3,734335","3,7257190000000002","3,8060125","3,8371779999999998","4,013597","4,349079","4,2162135","3,5958110000000003","3,440237","3,747434","3,909151","4,0108665","4,2547749999999995","4,226891999999999","4,1332705","4,213131000000001"
Renewable waste,"2,045087","2,0529409999999997","1,994398","2,058398","1,9054555","1,908088","1,8715785","1,7350645","1,7628395000000001","1,596859","1,4961685","1,468757","1,6158725","1,7550065","1,6818769999999998","1,6350360000000002","1,6866344999999998","1,686747","1,5534035","1,528278","1,4785305","1,619943","1,5417715","1,3712075","1,3910525","1,4668785","1,547051","1,707005","1,6443095","1,474844","1,205664","1,0631735","1,340811","1,4618265","1,6140525000000001","1,4158035","1,4523965","1,27166","1,6429749999999999","1,4508585","1,4262485","1,5158665","1,441526","1,3971585","1,703061","1,8123465","1,8743334999999999","1,957705","1,976543","1,8664485","1,7708215","1,8905094999999998","1,8635184999999999","1,880255","1,77396","1,5965805","1,4850015","1,5099845","1,5809315","1,571018","1,589382","1,811037","1,7500615","1,6435525","1,7250635","1,8043595000000001","1,802924","2,1018395","2,564339","2,533835","2,166906","1,7216065","1,8108115","2,5752135","2,5195805","2,518317","2,525866","2,4132235","2,53531","2,534821","2,7828850000000003","2,6320265","2,462384","2,542306","2,6519340000000002","2,53454","2,6439375","2,8372829999999998","2,765437","2,7468785","2,821355"
Total generation,"716,380235","709,866119","732,309625","708,8347350000001","731,361102","642,3408289999998","575,1694019999999","702,6951829999997","700,7784819999998","715,9084660000001","695,862757","657,767665","596,1755030000002","574,3486410000002","687,713067","738,3500499999999","745,1428080000002","751,6328109999998","694,791382","682,3708420000002","666,4592519999999","752,7934939999999","756,9160770000001","770,1168150000002","705,5659820000001","703,7794319999999","675,3389069999998","573,180573","671,356825","689,9886230000002","655,6944260000002","733,5756530000002","715,264633","706,7991270000001","628,7356139999998","700,4310480000001","754,121115","738,048821","661,0293520000002","682,9149179999998","614,373614","538,9794929999999","681,126007","713,3702600000001","700,814237","703,742762","674,9297189999999","611,6488929999998","561,2207619999999","628,1430980000001","667,6356839999999","672,8658489999999","669,0765130000001","674,0386560000001","631,077956","567,8594630000001","688,539204","671,3085290000001","703,440264","745,391418","772,840751","718,6020599999999","677,200232","712,311953","681,014687","721,225465","759,9389599999998","756,5370120000001","675,3658620000001","674,6471630000001","704,0888809999999","721,254484","725,493448","686,2300650000001","723,5587920000002","632,5232510000001","598,8796930000002","743,4008779999999","717,459875","700,1936019999998","748,453133","736,5647779999999","681,7491630000001","675,913784","722,335976","736,273581","748,4826419999999","745,6566580000001","754,457659","667,2707979999999","621,183634"
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Definitivo: 01/04/2024 - 30/06/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Export date,21/05/2026 - 20:53:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source,www.ree.es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
